Система автоматизации,AS
Абонент,ГПА1
Ретросистема,Текущий
Дата,29.01.18
Время,11:14:53
Длительность архива (сек),7200.00
Время предыстории (сек),7200.00

Дата,Время,Статус,Сообщение,Тип
29.01.2018,09:19:36.989,Пришло,УПС не готова к пуску,Предупреждение
29.01.2018,09:20:05.350,Заквитировано,УПС не готова к пуску,Предупреждение
29.01.2018,09:20:27.604,Пришло,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:20:40.556,Заквитировано,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:32.213,Снялось,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:36.613,Пришло,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:40.155,Заквитировано,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:41.213,Снялось,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:43.613,Пришло,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:48.213,Снялось,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:48.427,Заквитировано,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:37:14.210,Снялось,УПС не готова к пуску,Предупреждение
29.01.2018,09:37:53.611,Пришло,Блокировка АО от БЗА включена,Предупреждение
29.01.2018,09:37:57.031,Заквитировано,Блокировка АО от БЗА включена,Предупреждение
29.01.2018,09:37:58.610,Снялось,Блокировка АО от БЗА включена,Предупреждение
29.01.2018,09:38:11.245,Пришло,ЗсМОК закрыта,Предупреждение
29.01.2018,09:38:11.446,Снялось,ЗсМОК закрыта,Предупреждение
29.01.2018,09:38:11.245,Пришло,ЗсМОД2 закрыта,Предупреждение
29.01.2018,09:38:11.446,Снялось,ЗсМОД2 закрыта,Предупреждение
29.01.2018,09:38:11.245,Пришло,ЗсМОД1 закрыта,Предупреждение
29.01.2018,09:38:11.446,Снялось,ЗсМОД1 закрыта,Предупреждение
29.01.2018,09:38:20.245,Пришло,ЗсМОД2 открыта,Предупреждение
29.01.2018,09:38:21.043,Пришло,ЗсМОК открыта,Предупреждение
29.01.2018,09:38:22.045,Пришло,ЗсМОД1 открыта,Предупреждение
29.01.2018,09:38:24.433,Заквитировано,ЗсМОК открыта,Предупреждение
29.01.2018,09:38:24.433,Заквитировано,ЗсМОК закрыта,Предупреждение
29.01.2018,09:38:24.433,Заквитировано,ЗсМОД1 открыта,Предупреждение
29.01.2018,09:38:24.433,Заквитировано,ЗсМОД2 закрыта,Предупреждение
29.01.2018,09:38:24.433,Заквитировано,ЗсМОД1 закрыта,Предупреждение
29.01.2018,09:38:24.433,Заквитировано,ЗсМОД2 открыта,Предупреждение
29.01.2018,09:44:39.642,Пришло,Низкий уровень масла в баке напорном БН нагнетателя,Предупреждение
29.01.2018,09:44:47.040,Пришло,УПС не готова к пуску,Предупреждение
29.01.2018,09:44:48.521,Заквитировано,УПС не готова к пуску,Предупреждение
29.01.2018,09:44:48.521,Заквитировано,Низкий уровень масла в баке напорном БН нагнетателя,Предупреждение
29.01.2018,09:45:01.641,Снялось,УПС не готова к пуску,Предупреждение
29.01.2018,09:45:07.446,Пришло,Низкое Рбг на выходе 1-ой ступени СГУ (ст. привода),Предупреждение
29.01.2018,09:45:07.446,Пришло,Низкое Рбг на выходе 1-ой ст. СГУ (ст. обслуживания),Предупреждение
29.01.2018,09:45:08.446,Пришло,Низкий перепад давления "газ-газ" на лабиринтах Н ЗОН,Предупреждение
29.01.2018,09:45:12.887,Заквитировано,Низкий перепад давления "газ-газ" на лабиринтах Н ЗОН,Предупреждение
29.01.2018,09:45:12.887,Заквитировано,Низкое Рбг на выходе 1-ой ступени СГУ (ст. привода),Предупреждение
29.01.2018,09:45:12.642,Снялось,Низкое Рбг на выходе 1-ой ст. СГУ (ст. обслуживания),Предупреждение
29.01.2018,09:45:12.887,Заквитировано,Низкое Рбг на выходе 1-ой ст. СГУ (ст. обслуживания),Предупреждение
29.01.2018,09:45:15.642,Снялось,Низкое Рбг на выходе 1-ой ступени СГУ (ст. привода),Предупреждение
29.01.2018,09:45:27.246,Пришло,Пониженный Qбг на входе 1-й ступени СГУ2 (ст. обслуж),Предупреждение
29.01.2018,09:45:33.247,Пришло,Пониженный Qбг на входе 1-й ступени СГУ1 (ст. привода),Предупреждение
29.01.2018,09:45:34.844,Заквитировано,Пониженный Qбг на входе 1-й ступени СГУ1 (ст. привода),Предупреждение
29.01.2018,09:45:34.844,Заквитировано,Пониженный Qбг на входе 1-й ступени СГУ2 (ст. обслуж),Предупреждение
29.01.2018,09:47:03.854,Снялось,Низкий уровень масла в баке напорном БН нагнетателя,Предупреждение
29.01.2018,09:47:30.450,Пришло,Низкий уровень в МБК. Дозаправка,Предупреждение
29.01.2018,09:47:34.554,Заквитировано,Низкий уровень в МБК. Дозаправка,Предупреждение
29.01.2018,09:48:33.651,Снялось,Низкий уровень в МБК. Дозаправка,Предупреждение
29.01.2018,09:49:31.838,Пришло,УПС не готова к пуску,Предупреждение
29.01.2018,09:49:35.759,Заквитировано,УПС не готова к пуску,Предупреждение
29.01.2018,09:49:38.838,Пришло,Повышенный перепад давления на фильтрах топливного газа,Предупреждение
29.01.2018,09:49:39.236,Снялось,Повышенный перепад давления на фильтрах топливного газа,Предупреждение
29.01.2018,09:49:45.084,Заквитировано,Повышенный перепад давления на фильтрах топливного газа,Предупреждение
29.01.2018,09:51:33.661,Пришло,Не включен КВОД5,Предупреждение
29.01.2018,09:51:36.393,Заквитировано,Не включен КВОД5,Предупреждение
29.01.2018,09:53:36.473,Пришло,Нет готовности электростартера,Предупреждение
29.01.2018,09:53:42.267,Снялось,Нет готовности электростартера,Предупреждение
29.01.2018,09:53:42.720,Заквитировано,Нет готовности электростартера,Предупреждение
29.01.2018,09:54:33.866,Снялось,Пониженный Qбг на входе 1-й ступени СГУ1 (ст. привода),Предупреждение
29.01.2018,09:54:33.468,Снялось,Пониженный Qбг на входе 1-й ступени СГУ2 (ст. обслуж),Предупреждение
29.01.2018,09:54:35.260,Снялось,Низкий перепад давления "газ-газ" на лабиринтах Н ЗОН,Предупреждение
29.01.2018,09:56:04.262,Снялось,ЗсМОК открыта,Предупреждение
29.01.2018,09:56:04.262,Снялось,ЗсМОД1 открыта,Предупреждение
29.01.2018,09:56:04.262,Снялось,Режим кольцо,Предупреждение
29.01.2018,09:56:04.062,Пришло,Режим кольцо,Предупреждение
29.01.2018,09:56:04.262,Снялось,ЗсМОД2 открыта,Предупреждение
29.01.2018,09:56:27.116,Заквитировано,Режим кольцо,Предупреждение
29.01.2018,09:57:56.656,Пришло,Не все ключи НКУ в положении "Автомат",Предупреждение
29.01.2018,09:58:02.658,Пришло,Не открыт ЗсМОН,Предупреждение
