Система автоматизации,AS
Абонент,ГПА1
Ретросистема,Текущий
Дата,29.01.18
Время,11:18:56
Длительность архива (сек),7850.00
Время предыстории (сек),7850.00
Шаг дискретизации (сек),0.00

Время,"Частота вращения ротора СТ (2), об/мин"
,-330.00_11330.00
-7849.97,0.0000
-7849.92,0.0000
-7849.87,0.0000
-7849.82,0.0000
-7849.77,0.0000
-7849.72,0.0000
-7849.67,0.0000
-7849.62,0.0000
-7849.57,0.0000
-7849.52,0.0000
-7849.47,0.0000
-7849.42,0.0000
-7849.37,0.0000
-7849.32,0.0000
-7849.27,0.0000
-7849.22,0.0000
-7849.17,0.0000
-7849.12,0.0000
-7849.07,0.0000
-7849.02,0.0000
-7848.97,0.0000
-7848.92,0.0000
-7848.87,0.0000
-7848.82,0.0000
-7848.77,0.0000
-7848.72,0.0000
-7848.67,0.0000
-7848.62,0.0000
-7848.57,0.0000
-7848.52,0.0000
-7848.47,0.0000
-7848.42,0.0000
-7848.37,0.0000
-7848.32,0.0000
-7848.27,0.0000
-7848.22,0.0000
-7848.17,0.0000
-7848.12,0.0000
-7848.07,0.0000
-7848.02,0.0000
-7847.97,0.0000
-7847.92,0.0000
-7847.87,0.0000
-7847.82,0.0000
-7847.77,0.0000
-7847.72,0.0000
-7847.67,0.0000
-7847.62,0.0000
-7847.57,0.0000
-7847.52,0.0000
-7847.47,0.0000
-7847.42,0.0000
-7847.37,0.0000
-7847.32,0.0000
-7847.27,0.0000
-7847.22,0.0000
-7847.17,0.0000
-7847.12,0.0000
-7847.07,0.0000
-7847.02,0.0000
-7846.97,0.0000
-7846.92,0.0000
-7846.87,0.0000
-7846.82,0.0000
-7846.77,0.0000
-7846.72,0.0000
-7846.67,0.0000
-7846.62,0.0000
-7846.57,0.0000
-7846.52,0.0000
-7846.47,0.0000
-7846.42,0.0000
-7846.37,0.0000
-7846.32,0.0000
-7846.27,0.0000
-7846.22,0.0000
-7846.17,0.0000
-7846.12,0.0000
-7846.07,0.0000
-7846.02,0.0000
-7845.97,0.0000
-7845.92,0.0000
-7845.87,0.0000
-7845.82,0.0000
-7845.77,0.0000
-7845.72,0.0000
-7845.67,0.0000
-7845.62,0.0000
-7845.57,0.0000
-7845.52,0.0000
-7845.47,0.0000
-7845.42,0.0000
-7845.37,0.0000
-7845.32,0.0000
-7845.27,0.0000
-7845.22,0.0000
-7845.17,0.0000
-7845.12,0.0000
-7845.07,0.0000
-7845.02,0.0000
-7844.97,0.0000
-7844.92,0.0000
-7844.87,0.0000
-7844.82,0.0000
-7844.77,0.0000
-7844.72,0.0000
-7844.67,0.0000
-7844.62,0.0000
-7844.57,0.0000
-7844.52,0.0000
-7844.47,0.0000
-7844.42,0.0000
-7844.37,0.0000
-7844.32,0.0000
-7844.27,0.0000
-7844.22,0.0000
-7844.17,0.0000
-7844.12,0.0000
-7844.07,0.0000
-7844.02,0.0000
-7843.97,0.0000
-7843.92,0.0000
-7843.87,0.0000
-7843.82,0.0000
-7843.77,0.0000
-7843.72,0.0000
-7843.67,0.0000
-7843.62,0.0000
-7843.57,0.0000
-7843.52,0.0000
-7843.47,0.0000
-7843.42,0.0000
-7843.37,0.0000
-7843.32,0.0000
-7843.27,0.0000
-7843.22,0.0000
-7843.17,0.0000
-7843.12,0.0000
-7843.07,0.0000
-7843.02,0.0000
-7842.97,0.0000
-7842.92,0.0000
-7842.87,0.0000
-7842.82,0.0000
-7842.77,0.0000
-7842.72,0.0000
-7842.67,0.0000
-7842.62,0.0000
-7842.57,0.0000
-7842.52,0.0000
-7842.47,0.0000
-7842.42,0.0000
-7842.37,0.0000
-7842.32,0.0000
-7842.27,0.0000
-7842.22,0.0000
-7842.17,0.0000
-7842.12,0.0000
-7842.07,0.0000
-7842.02,0.0000
-7841.97,0.0000
-7841.92,0.0000
-7841.87,0.0000
-7841.82,0.0000
-7841.77,0.0000
-7841.72,0.0000
-7841.67,0.0000
-7841.62,0.0000
-7841.57,0.0000
-7841.52,0.0000
-7841.47,0.0000
-7841.42,0.0000
-7841.37,0.0000
-7841.32,0.0000
-7841.27,0.0000
-7841.22,0.0000
-7841.17,0.0000
-7841.12,0.0000
-7841.07,0.0000
-7841.02,0.0000
-7840.97,0.0000
-7840.92,0.0000
-7840.87,0.0000
-7840.82,0.0000
-7840.77,0.0000
-7840.72,0.0000
-7840.67,0.0000
-7840.62,0.0000
-7840.57,0.0000
-7840.52,0.0000
-7840.47,0.0000
-7840.42,0.0000
-7840.37,0.0000
-7840.32,0.0000
-7840.27,0.0000
-7840.22,0.0000
-7840.17,0.0000
-7840.12,0.0000
-7840.07,0.0000
-7840.02,0.0000
-7839.97,0.0000
-7839.92,0.0000
-7839.87,0.0000
-7839.82,0.0000
-7839.77,0.0000
-7839.72,0.0000
-7839.67,0.0000
-7839.62,0.0000
-7839.57,0.0000
-7839.52,0.0000
-7839.47,0.0000
-7839.42,0.0000
-7839.37,0.0000
-7839.32,0.0000
-7839.27,0.0000
-7839.22,0.0000
-7839.17,0.0000
-7839.12,0.0000
-7839.07,0.0000
-7839.02,0.0000
-7838.97,0.0000
-7838.92,0.0000
-7838.87,0.0000
-7838.82,0.0000
-7838.77,0.0000
-7838.72,0.0000
-7838.67,0.0000
-7838.62,0.0000
-7838.57,0.0000
-7838.52,0.0000
-7838.47,0.0000
-7838.42,0.0000
-7838.37,0.0000
-7838.32,0.0000
-7838.27,0.0000
-7838.22,0.0000
-7838.17,0.0000
-7838.12,0.0000
-7838.07,0.0000
-7838.02,0.0000
-7837.97,0.0000
-7837.92,0.0000
-7837.87,0.0000
-7837.82,0.0000
-7837.77,0.0000
-7837.72,0.0000
-7837.67,0.0000
-7837.62,0.0000
-7837.57,0.0000
-7837.52,0.0000
-7837.47,0.0000
-7837.42,0.0000
-7837.37,0.0000
-7837.32,0.0000
-7837.27,0.0000
-7837.22,0.0000
-7837.17,0.0000
-7837.12,0.0000
-7837.07,0.0000
-7837.02,0.0000
-7836.97,0.0000
-7836.92,0.0000
-7836.87,0.0000
-7836.82,0.0000
-7836.77,0.0000
-7836.72,0.0000
-7836.67,0.0000
-7836.62,0.0000
-7836.57,0.0000
-7836.52,0.0000
-7836.47,0.0000
-7836.42,0.0000
-7836.37,0.0000
-7836.32,0.0000
-7836.27,0.0000
-7836.22,0.0000
-7836.17,0.0000
-7836.12,0.0000
-7836.07,0.0000
-7836.02,0.0000
-7835.97,0.0000
-7835.92,0.0000
-7835.87,0.0000
-7835.82,0.0000
-7835.77,0.0000
-7835.72,0.0000
-7835.67,0.0000
-7835.62,0.0000
-7835.57,0.0000
-7835.52,0.0000
-7835.47,0.0000
-7835.42,0.0000
-7835.37,0.0000
-7835.32,0.0000
-7835.27,0.0000
-7835.22,0.0000
-7835.17,0.0000
-7835.12,0.0000
-7835.07,0.0000
-7835.02,0.0000
-7834.97,0.0000
-7834.92,0.0000
-7834.87,0.0000
-7834.82,0.0000
-7834.77,0.0000
-7834.72,0.0000
-7834.67,0.0000
-7834.62,0.0000
-7834.57,0.0000
-7834.52,0.0000
-7834.47,0.0000
-7834.42,0.0000
-7834.37,0.0000
-7834.32,0.0000
-7834.27,0.0000
-7834.22,0.0000
-7834.17,0.0000
-7834.12,0.0000
-7834.07,0.0000
-7834.02,0.0000
-7833.97,0.0000
-7833.92,0.0000
-7833.87,0.0000
-7833.82,0.0000
-7833.77,0.0000
-7833.72,0.0000
-7833.67,0.0000
-7833.62,0.0000
-7833.57,0.0000
-7833.52,0.0000
-7833.47,0.0000
-7833.42,0.0000
-7833.37,0.0000
-7833.32,0.0000
-7833.27,0.0000
-7833.22,0.0000
-7833.17,0.0000
-7833.12,0.0000
-7833.07,0.0000
-7833.02,0.0000
-7832.97,0.0000
-7832.92,0.0000
-7832.87,0.0000
-7832.82,0.0000
-7832.77,0.0000
-7832.72,0.0000
-7832.67,0.0000
-7832.62,0.0000
-7832.57,0.0000
-7832.52,0.0000
-7832.47,0.0000
-7832.42,0.0000
-7832.37,0.0000
-7832.32,0.0000
-7832.27,0.0000
-7832.22,0.0000
-7832.17,0.0000
-7832.12,0.0000
-7832.07,0.0000
-7832.02,0.0000
-7831.97,0.0000
-7831.92,0.0000
-7831.87,0.0000
-7831.82,0.0000
-7831.77,0.0000
-7831.72,0.0000
-7831.67,0.0000
-7831.62,0.0000
-7831.57,0.0000
-7831.52,0.0000
-7831.47,0.0000
-7831.42,0.0000
-7831.37,0.0000
-7831.32,0.0000
-7831.27,0.0000
-7831.22,0.0000
-7831.17,0.0000
-7831.12,0.0000
-7831.07,0.0000
-7831.02,0.0000
-7830.97,0.0000
-7830.92,0.0000
-7830.87,0.0000
-7830.82,0.0000
-7830.77,0.0000
-7830.72,0.0000
-7830.67,0.0000
-7830.62,0.0000
-7830.57,0.0000
-7830.52,0.0000
-7830.47,0.0000
-7830.42,0.0000
-7830.37,0.0000
-7830.32,0.0000
-7830.27,0.0000
-7830.22,0.0000
-7830.17,0.0000
-7830.12,0.0000
-7830.07,0.0000
-7830.02,0.0000
-7829.97,0.0000
-7829.92,0.0000
-7829.87,0.0000
-7829.82,0.0000
-7829.77,0.0000
-7829.72,0.0000
-7829.67,0.0000
-7829.62,0.0000
-7829.57,0.0000
-7829.52,0.0000
-7829.47,0.0000
-7829.42,0.0000
-7829.37,0.0000
-7829.32,0.0000
-7829.27,0.0000
-7829.22,0.0000
-7829.17,0.0000
-7829.12,0.0000
-7829.07,0.0000
-7829.02,0.0000
-7828.97,0.0000
-7828.92,0.0000
-7828.87,0.0000
-7828.82,0.0000
-7828.77,0.0000
-7828.72,0.0000
-7828.67,0.0000
-7828.62,0.0000
-7828.57,0.0000
-7828.52,0.0000
-7828.47,0.0000
-7828.42,0.0000
-7828.37,0.0000
-7828.32,0.0000
-7828.27,0.0000
-7828.22,0.0000
-7828.17,0.0000
-7828.12,0.0000
-7828.07,0.0000
-7828.02,0.0000
-7827.97,0.0000
-7827.92,0.0000
-7827.87,0.0000
-7827.82,0.0000
-7827.77,0.0000
-7827.72,0.0000
-7827.67,0.0000
-7827.62,0.0000
-7827.57,0.0000
-7827.52,0.0000
-7827.47,0.0000
-7827.42,0.0000
-7827.37,0.0000
-7827.32,0.0000
-7827.27,0.0000
-7827.22,0.0000
-7827.17,0.0000
-7827.12,0.0000
-7827.07,0.0000
-7827.02,0.0000
-7826.97,0.0000
-7826.92,0.0000
-7826.87,0.0000
-7826.82,0.0000
-7826.77,0.0000
-7826.72,0.0000
-7826.67,0.0000
-7826.62,0.0000
-7826.57,0.0000
-7826.52,0.0000
-7826.47,0.0000
-7826.42,0.0000
-7826.37,0.0000
-7826.32,0.0000
-7826.27,0.0000
-7826.22,0.0000
-7826.17,0.0000
-7826.12,0.0000
-7826.07,0.0000
-7826.02,0.0000
-7825.97,0.0000
-7825.92,0.0000
-7825.87,0.0000
-7825.82,0.0000
-7825.77,0.0000
-7825.72,0.0000
-7825.67,0.0000
-7825.62,0.0000
-7825.57,0.0000
-7825.52,0.0000
-7825.47,0.0000
-7825.42,0.0000
-7825.37,0.0000
-7825.32,0.0000
-7825.27,0.0000
-7825.22,0.0000
-7825.17,0.0000
-7825.12,0.0000
-7825.07,0.0000
-7825.02,0.0000
-7824.97,0.0000
-7824.92,0.0000
-7824.87,0.0000
-7824.82,0.0000
-7824.77,0.0000
-7824.72,0.0000
-7824.67,0.0000
-7824.62,0.0000
-7824.57,0.0000
-7824.52,0.0000
-7824.47,0.0000
-7824.42,0.0000
-7824.37,0.0000
-7824.32,0.0000
-7824.27,0.0000
-7824.22,0.0000
-7824.17,0.0000
-7824.12,0.0000
-7824.07,0.0000
-7824.02,0.0000
-7823.97,0.0000
-7823.92,0.0000
-7823.87,0.0000
-7823.82,0.0000
-7823.77,0.0000
-7823.72,0.0000
-7823.67,0.0000
-7823.62,0.0000
-7823.57,0.0000
-7823.52,0.0000
-7823.47,0.0000
-7823.42,0.0000
-7823.37,0.0000
-7823.32,0.0000
-7823.27,0.0000
-7823.22,0.0000
-7823.17,0.0000
-7823.12,0.0000
-7823.07,0.0000
-7823.02,0.0000
-7822.97,0.0000
-7822.92,0.0000
-7822.87,0.0000
-7822.82,0.0000
-7822.77,0.0000
-7822.72,0.0000
-7822.67,0.0000
-7822.62,0.0000
-7822.57,0.0000
-7822.52,0.0000
-7822.47,0.0000
-7822.42,0.0000
-7822.37,0.0000
-7822.32,0.0000
-7822.27,0.0000
-7822.22,0.0000
-7822.17,0.0000
-7822.12,0.0000
-7822.07,0.0000
-7822.02,0.0000
-7821.97,0.0000
-7821.92,0.0000
-7821.87,0.0000
-7821.82,0.0000
-7821.77,0.0000
-7821.72,0.0000
-7821.67,0.0000
-7821.62,0.0000
-7821.57,0.0000
-7821.52,0.0000
-7821.47,0.0000
-7821.42,0.0000
-7821.37,0.0000
-7821.32,0.0000
-7821.27,0.0000
-7821.22,0.0000
-7821.17,0.0000
-7821.12,0.0000
-7821.07,0.0000
-7821.02,0.0000
-7820.97,0.0000
-7820.92,0.0000
-7820.87,0.0000
-7820.82,0.0000
-7820.77,0.0000
-7820.72,0.0000
-7820.67,0.0000
-7820.62,0.0000
-7820.57,0.0000
-7820.52,0.0000
-7820.47,0.0000
-7820.42,0.0000
-7820.37,0.0000
-7820.32,0.0000
-7820.27,0.0000
-7820.22,0.0000
-7820.17,0.0000
-7820.12,0.0000
-7820.07,0.0000
-7820.02,0.0000
-7819.97,0.0000
-7819.92,0.0000
-7819.87,0.0000
-7819.82,0.0000
-7819.77,0.0000
-7819.72,0.0000
-7819.67,0.0000
-7819.62,0.0000
-7819.57,0.0000
-7819.52,0.0000
-7819.47,0.0000
-7819.42,0.0000
-7819.37,0.0000
-7819.32,0.0000
-7819.27,0.0000
-7819.22,0.0000
-7819.17,0.0000
-7819.12,0.0000
-7819.07,0.0000
-7819.02,0.0000
-7818.97,0.0000
-7818.92,0.0000
-7818.87,0.0000
-7818.82,0.0000
-7818.77,0.0000
-7818.72,0.0000
-7818.67,0.0000
-7818.62,0.0000
-7818.57,0.0000
-7818.52,0.0000
-7818.47,0.0000
-7818.42,0.0000
-7818.37,0.0000
-7818.32,0.0000
-7818.27,0.0000
-7818.22,0.0000
-7818.17,0.0000
-7818.12,0.0000
-7818.07,0.0000
-7818.02,0.0000
-7817.97,0.0000
-7817.92,0.0000
-7817.87,0.0000
-7817.82,0.0000
-7817.77,0.0000
-7817.72,0.0000
-7817.67,0.0000
-7817.62,0.0000
-7817.57,0.0000
-7817.52,0.0000
-7817.47,0.0000
-7817.42,0.0000
-7817.37,0.0000
-7817.32,0.0000
-7817.27,0.0000
-7817.22,0.0000
-7817.17,0.0000
-7817.12,0.0000
-7817.07,0.0000
-7817.02,0.0000
-7816.97,0.0000
-7816.92,0.0000
-7816.87,0.0000
-7816.82,0.0000
-7816.77,0.0000
-7816.72,0.0000
-7816.67,0.0000
-7816.62,0.0000
-7816.57,0.0000
-7816.52,0.0000
-7816.47,0.0000
-7816.42,0.0000
-7816.37,0.0000
-7816.32,0.0000
-7816.27,0.0000
-7816.22,0.0000
-7816.17,0.0000
-7816.12,0.0000
-7816.07,0.0000
-7816.02,0.0000
-7815.97,0.0000
-7815.92,0.0000
-7815.87,0.0000
-7815.82,0.0000
-7815.77,0.0000
-7815.72,0.0000
-7815.67,0.0000
-7815.62,0.0000
-7815.57,0.0000
-7815.52,0.0000
-7815.47,0.0000
-7815.42,0.0000
-7815.37,0.0000
-7815.32,0.0000
-7815.27,0.0000
-7815.22,0.0000
-7815.17,0.0000
-7815.12,0.0000
-7815.07,0.0000
-7815.02,0.0000
-7814.97,0.0000
-7814.92,0.0000
-7814.87,0.0000
-7814.82,0.0000
-7814.77,0.0000
-7814.72,0.0000
-7814.67,0.0000
-7814.62,0.0000
-7814.57,0.0000
-7814.52,0.0000
-7814.47,0.0000
-7814.42,0.0000
-7814.37,0.0000
-7814.32,0.0000
-7814.27,0.0000
-7814.22,0.0000
-7814.17,0.0000
-7814.12,0.0000
-7814.07,0.0000
-7814.02,0.0000
-7813.97,0.0000
-7813.92,0.0000
-7813.87,0.0000
-7813.82,0.0000
-7813.77,0.0000
-7813.72,0.0000
-7813.67,0.0000
-7813.62,0.0000
-7813.57,0.0000
-7813.52,0.0000
-7813.47,0.0000
-7813.42,0.0000
-7813.37,0.0000
-7813.32,0.0000
-7813.27,0.0000
-7813.22,0.0000
-7813.17,0.0000
-7813.12,0.0000
-7813.07,0.0000
-7813.02,0.0000
