Система автоматизации,AS
Абонент,ГПА-31
Ретросистема,Текущий
Дата,02.03.23
Время,14:00:58
Длительность архива (сек),7200.00
Время предыстории (сек),7200.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Помпажный запас, %","Перепад давления  на конфузоре,  DРКонф, кПа","Частота вращения ротора СТ (2), об/мин"
,-300.00_10300.00,-0.30_10.30,-0.30_10.30,-3.00_103.00,-66.30_156.30,-66.30_156.30,-7.50_257.50,-7.50_257.50,-7.50_257.50,-7.50_257.50,-1.06_1.06,-10.00_100.00,-4.80_164.80,-300.00_10300.00
-7199.00,8442.5029,3.2339,6.5690,99.7360,15.5253,77.2389,17.8584,20.9780,30.9968,25.6619,0.7731,30.6394,40.7986,8442.5029
-7198.00,8442.4863,3.2339,6.5690,99.7287,15.5253,77.2389,17.8584,20.9780,30.9968,25.9965,0.7750,30.6254,40.8333,8442.4863
-7197.00,8441.7197,3.2339,6.5690,99.7287,15.5253,77.2389,17.8584,18.9887,28.0038,24.0072,0.7731,30.6574,40.8854,8441.3340
-7196.00,8441.3340,3.2339,6.5690,99.7179,15.5253,77.2389,17.8584,18.9887,28.0038,24.0072,0.7731,30.7572,40.9259,8441.7197
-7195.00,8440.9258,3.2339,6.5690,99.7215,15.5253,77.2389,16.8457,14.9740,26.0055,24.0072,0.7731,30.7229,40.9201,8440.9258
-7194.00,8441.7402,3.2339,6.5690,99.7070,15.5253,77.2389,16.8457,14.9740,26.0055,22.9944,0.7731,30.6634,40.8275,8441.7402
-7193.00,8442.1025,3.2339,6.5690,99.6998,15.5253,77.2389,17.8403,19.9834,28.9985,22.9944,0.7731,30.6921,40.8681,8441.7197
-7192.00,8442.1221,3.2339,6.5690,99.7179,15.5253,77.2389,17.8403,19.9834,28.9985,25.9965,0.7731,30.6900,40.8449,8442.1221
-7191.00,8439.7676,3.2339,6.5690,99.7468,15.5253,77.2389,17.8403,18.9887,28.0038,25.9965,0.7742,30.7277,40.9433,8439.3838
-7190.00,8441.3340,3.2339,6.5690,99.7360,15.5253,77.2389,17.8403,18.9887,28.0038,24.9837,0.7731,30.6809,40.8275,8441.3340
-7189.00,8441.3340,3.2339,6.5690,99.7251,15.5253,77.2389,17.8403,17.9760,32.0095,25.3906,0.7731,30.6383,40.8102,8440.9512
-7188.00,8441.7197,3.2339,6.5690,99.7215,15.5253,77.2389,17.8403,17.9760,32.0095,27.0001,0.7724,30.6471,40.8449,8440.9512
-7187.00,8438.6484,3.2339,6.5690,99.7468,15.5253,77.2389,17.8403,17.9760,27.0092,23.0848,0.7731,30.7481,40.9201,8438.6113
-7186.00,8440.5684,3.2339,6.5690,99.7107,15.5253,77.2389,17.8403,17.9760,27.0092,22.9944,0.7731,30.6542,40.7697,8440.5684
-7185.00,8440.5684,3.2339,6.5690,99.7215,15.5253,77.2389,16.8457,17.9760,28.9985,24.0072,0.7742,30.5829,40.7870,8440.9512
-7184.00,8437.8398,3.2339,6.5690,99.7251,15.5253,77.2389,16.8457,17.9760,28.9985,24.0072,0.7731,30.7667,40.9028,8437.8398
-7183.00,8441.3340,3.2339,6.5690,99.7360,15.5253,77.2389,14.8474,15.9777,25.0109,24.0072,0.7731,30.6858,40.8102,8440.9512
-7182.00,8442.8711,3.2339,6.5690,99.7360,15.5253,77.2389,14.8474,15.9777,25.0109,22.9944,0.7731,30.6366,40.8275,8443.2539
-7181.00,8441.7197,3.2339,6.5690,99.7107,15.5253,77.2389,15.8511,16.9813,27.0092,22.9944,0.7731,30.6871,40.9143,8442.1025
-7180.00,8440.9258,3.2339,6.5690,99.6926,15.5253,77.2389,15.8511,16.9813,27.0092,24.0072,0.7731,30.7316,40.9143,8440.9258
-7179.00,8441.3115,3.2339,6.5690,99.7396,15.5253,77.2389,17.8584,17.9760,30.0022,24.0072,0.7731,30.7304,40.8738,8441.6992
-7178.00,8440.1553,3.2339,6.5690,99.7902,15.5253,77.2389,17.8584,17.9760,30.0022,24.0072,0.7721,30.6879,40.8565,8440.5410
-7177.00,8439.8311,3.2339,6.5690,99.7179,15.5253,77.2389,15.8511,14.9740,28.0038,23.6545,0.7731,30.6976,40.8738,8440.2119
-7176.00,8442.1025,3.2339,6.5690,99.7432,15.5253,77.2389,15.8511,14.9740,28.0038,22.9944,0.7731,30.5406,40.7002,8442.1025
-7175.00,8440.1826,3.2339,6.5690,99.7251,15.5253,77.2389,16.8457,15.9777,27.0092,23.9891,0.7731,30.6616,40.8912,8440.1826
-7174.00,8440.9512,3.2339,6.5690,99.7432,15.5253,77.2389,16.8457,15.9777,27.0092,23.9891,0.7721,30.6886,40.8854,8440.9512
-7173.00,8441.3115,3.2339,6.5690,99.7287,15.5253,77.2389,16.8457,17.9760,26.0055,23.9891,0.7731,30.6799,40.8449,8441.3115
-7172.00,8442.8711,3.2339,6.5690,99.6998,15.5253,77.2389,16.8457,17.9760,26.0055,23.9891,0.7731,30.6199,40.8275,8442.4863
-7171.00,8440.9756,3.2339,6.5690,99.7070,15.5253,77.2389,16.8457,18.9706,30.9968,23.9891,0.7731,30.7062,40.9028,8440.9756
-7170.00,8439.7998,3.2339,6.5676,99.7794,15.5253,77.2389,16.8457,18.9706,30.9968,24.9837,0.7731,30.7457,40.9433,8439.7998
-7169.00,8439.4170,3.2339,6.5686,99.7938,15.5253,77.2389,16.8457,17.9760,28.9985,24.9837,0.7731,30.7725,40.9433,8438.6484
-7168.00,8440.1826,3.2339,6.5686,99.7360,15.5253,77.2389,16.8457,17.9760,28.9985,24.9837,0.7721,30.7034,40.8449,8439.7998
-7167.00,8440.9512,3.2339,6.5686,99.7468,15.5253,77.2389,18.8531,17.9760,28.9985,24.9837,0.7731,30.7596,40.9433,8440.9512
-7166.00,8440.9258,3.2339,6.5686,99.7360,15.5253,77.2389,18.8531,17.9760,28.9985,22.9944,0.7721,30.6238,40.8044,8440.9258
-7165.00,8441.7197,3.2339,6.5686,99.7396,15.5253,77.2389,17.8584,17.9760,30.9968,24.4774,0.7731,30.6957,40.8912,8441.3340
-7164.00,8441.3340,3.2339,6.5686,99.7179,15.5253,77.2389,17.8584,17.9760,30.9968,25.9965,0.7731,30.6770,40.8738,8441.3340
-7163.00,8440.9512,3.2339,6.5686,99.7070,15.5253,77.2389,18.8531,19.9834,32.0095,25.9965,0.7721,30.7402,40.9143,8440.9512
-7162.00,8441.3340,3.2339,6.5676,99.7107,15.5253,77.2389,18.8531,19.9834,32.0095,25.9965,0.7731,30.7515,40.9317,8441.7197
-7161.00,8441.7197,3.2339,6.5676,99.8083,15.5253,77.2389,14.8474,13.9703,25.0109,22.9944,0.7731,30.7120,40.8970,8442.1025
-7160.00,8442.1025,3.2339,6.5676,99.7794,15.5253,77.2389,14.8474,13.9703,25.0109,22.9944,0.7731,30.6772,40.8738,8442.4863
-7159.00,8441.7197,3.2339,6.5676,99.7540,15.5253,77.2389,19.8568,19.9834,28.9985,22.9944,0.7711,30.6817,40.8102,8441.7197
-7158.00,8440.9512,3.2339,6.5676,99.7468,15.5253,77.2389,19.8568,19.9834,28.9985,25.9965,0.7721,30.6372,40.8565,8441.3340
-7157.00,8441.6992,3.2339,6.5676,99.7360,15.5253,77.2389,17.8584,19.9834,30.0022,25.9965,0.7721,30.7402,40.9028,8441.6992
-7156.00,8440.1826,3.2339,6.5686,99.7251,15.5253,77.2389,17.8584,19.9834,30.0022,27.9948,0.7731,30.6628,40.8623,8440.1826
-7155.00,8442.4688,3.2339,6.5686,99.7287,15.5253,77.2389,14.8564,16.9813,28.0038,27.9948,0.7721,30.6417,40.7870,8442.4688
-7154.00,8441.7402,3.2339,6.5676,99.7179,15.5253,77.2389,14.8564,16.9813,28.0038,25.9965,0.7731,30.6131,40.8565,8442.1221
-7153.00,8440.1826,3.2339,6.5676,99.7034,15.5253,77.2389,16.8457,20.9780,30.0022,25.3364,0.7731,30.7475,40.9491,8439.7998
