Система автоматизации,AS
Абонент,ГПА1
Ретросистема,Текущий
Дата,29.01.18
Время,11:14:53
Длительность архива (сек),7200.00
Время предыстории (сек),7200.00

Дата,Время,Статус,Сообщение,Тип
29.01.2018,09:19:36.381,Пришло,ХР,Сообщение об изменении режима работы агрегата
29.01.2018,09:19:36.381,Снялось,ГР,Сообщение об изменении режима работы агрегата
29.01.2018,09:19:36.599,Пришло,Холодный резерв без газа,Режимное сообщение
29.01.2018,09:19:36.599,Снялось,Горячий резерв без газа,Режимное сообщение
29.01.2018,09:19:36.989,Пришло,УПС не готова к пуску,Предупреждение
29.01.2018,09:19:36.169,Пришло,Нет готовности УПС к пуску,Вход
29.01.2018,09:19:36.206,Пришло,АСПТ не готова к пуску,Предпусковые условия
29.01.2018,09:20:05.350,Заквитировано,УПС не готова к пуску,Предупреждение
29.01.2018,09:20:26.783,Пришло,Двери кожуха ГТУ открыты,Вход
29.01.2018,09:20:26.822,Пришло,Не закрыты двери кожуха ГТУ,Предпусковые условия
29.01.2018,09:20:27.604,Пришло,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:20:40.556,Заквитировано,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:23:50.587,Снялось,Включить 1 секцию электронагревателей укрытия кранов № 1,Выход
29.01.2018,09:23:50.587,Снялось,Включить 2 секцию электронагревателей укрытия кранов № 1,Выход
29.01.2018,09:23:50.784,Снялось,Электронагреватели 2 секции укр. кр. № 1 вкл.,Вход
29.01.2018,09:23:50.784,Снялось,Электронагреватели 1 секции укр. кр. № 1 вкл.,Вход
29.01.2018,09:24:12.990,Снялось,Включить электронагреватели МБД (ЭНБД),Выход
29.01.2018,09:24:13.189,Снялось,Электронагреватели  МБД (ЭНБД) включены,,Вход
29.01.2018,09:25:29.391,Снялось,Включить электронагреватели блока пожаротушения (ЭНБП),Выход
29.01.2018,09:25:29.587,Снялось,Электронагреватели ЭНБП блока пожаротушения  включены,,Вход
29.01.2018,09:29:32.213,Снялось,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:32.191,Снялось,Двери кожуха ГТУ открыты,Вход
29.01.2018,09:29:32.225,Снялось,Не закрыты двери кожуха ГТУ,Предпусковые условия
29.01.2018,09:29:35.831,Пришло,Не закрыты двери кожуха ГТУ,Предпусковые условия
29.01.2018,09:29:35.791,Пришло,Двери кожуха ГТУ открыты,Вход
29.01.2018,09:29:36.613,Пришло,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:40.155,Заквитировано,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:41.213,Снялось,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:41.190,Снялось,Двери кожуха ГТУ открыты,Вход
29.01.2018,09:29:41.224,Снялось,Не закрыты двери кожуха ГТУ,Предпусковые условия
29.01.2018,09:29:42.831,Пришло,Не закрыты двери кожуха ГТУ,Предпусковые условия
29.01.2018,09:29:42.792,Пришло,Двери кожуха ГТУ открыты,Вход
29.01.2018,09:29:43.613,Пришло,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:48.213,Снялось,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:48.427,Заквитировано,Открыты двери кожуха ГТУ,Предупреждение
29.01.2018,09:29:48.191,Снялось,Двери кожуха ГТУ открыты,Вход
29.01.2018,09:29:48.225,Снялось,Не закрыты двери кожуха ГТУ,Предпусковые условия
29.01.2018,09:37:14.188,Снялось,Нет готовности УПС к пуску,Вход
29.01.2018,09:37:14.222,Снялось,АСПТ не готова к пуску,Предпусковые условия
29.01.2018,09:37:14.620,Пришло,Горячий резерв без газа,Режимное сообщение
29.01.2018,09:37:14.402,Снялось,ХР,Сообщение об изменении режима работы агрегата
29.01.2018,09:37:14.402,Пришло,ГР,Сообщение об изменении режима работы агрегата
29.01.2018,09:37:14.620,Снялось,Холодный резерв без газа,Режимное сообщение
29.01.2018,09:37:14.210,Снялось,УПС не готова к пуску,Предупреждение
29.01.2018,09:37:53.611,Пришло,Блокировка АО от БЗА включена,Предупреждение
29.01.2018,09:37:53.620,Пришло,Контроль САУ,Режимное сообщение
29.01.2018,09:37:53.626,Пришло,Контроль САУ,Фаза технологического процесса
29.01.2018,09:37:53.621,Пришло,Идёт контроль БЗА,Фаза технологического процесса
29.01.2018,09:37:53.276,Пришло,PULT3. оператор: Команда "Пуск на кольцо",Команды оператора
29.01.2018,09:37:53.590,Пришло,Блокировка БЗА,Выход
29.01.2018,09:37:53.620,Пришло,Готов к АПК,Режимное сообщение
29.01.2018,09:37:53.792,Пришло,Контроль ИВ-Д-ПФ-5МТ.1,Выход
29.01.2018,09:37:53.600,Нажата кнопка,Пуск на кольцо,Кнопка
29.01.2018,09:37:54.590,Пришло,Контроль БЗА,Выход
29.01.2018,09:37:54.790,Пришло,Повышенная вибрация корпуса двигателя,Вход
29.01.2018,09:37:55.587,Пришло,Опасная вибрация корпуса двигателя,Вход
29.01.2018,09:37:56.590,Снялось,Контроль БЗА,Выход
29.01.2018,09:37:57.031,Заквитировано,Блокировка АО от БЗА включена,Предупреждение
29.01.2018,09:37:58.610,Снялось,Блокировка АО от БЗА включена,Предупреждение
29.01.2018,09:37:58.620,Снялось,Идёт контроль БЗА,Фаза технологического процесса
29.01.2018,09:37:58.590,Снялось,Блокировка БЗА,Выход
29.01.2018,09:38:00.392,Снялось,Контроль ИВ-Д-ПФ-5МТ.1,Выход
29.01.2018,09:38:01.987,Снялось,Опасная вибрация корпуса двигателя,Вход
29.01.2018,09:38:03.390,Снялось,Повышенная вибрация корпуса двигателя,Вход
