Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Архив останова
Дата,02.12.22
Время,10:43:51
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00

Дата,Время,Статус,Сообщение,Тип,Флаги
02.12.2022,10:23:52.956,Снялось,""нет готовности электростартера"",Предупреждение,
02.12.2022,10:23:53.152,Пришло,""Взведена защита по давлению масла на входе в Д"",Прочие сообщения,
02.12.2022,10:23:53.152,Снялось,""Взведена защита: Неисправность электростартера"",Прочие сообщения,
02.12.2022,10:23:53.353,Снялось,""Нет готовности электростартера"",Предупреждение,
02.12.2022,10:23:55.160,Пришло,""Контур прогрева на минимальном режиме"",Фаза технологического процесса,
02.12.2022,10:23:55.160,Снялось,""Контур n с точкой на запуске"",Фаза технологического процесса,
02.12.2022,10:24:03.953,Пришло,""Контур ограничения ГГ на минимальном режиме"",Фаза технологического процесса,
02.12.2022,10:24:03.953,Снялось,""Запуск идет"",Прочие сообщения,
02.12.2022,10:24:03.953,Пришло,""Двигатель работает"",Прочие сообщения,
02.12.2022,10:24:04.347,Снялось,""Взведена защита: Низкая Тм на входе в Д"",Прочие сообщения,
02.12.2022,10:24:04.359,Снялось,""Запуск Д"",Режимное сообщение,
02.12.2022,10:24:04.546,Снялось,""Взведена защита: АПРК не открыт на пуске"",Прочие сообщения,
02.12.2022,10:24:04.560,Пришло,""Прогрев на холостом ходу"",Фаза технологического процесса,
02.12.2022,10:24:04.714,Пришло,""ПОС включена"",Вход,
02.12.2022,10:24:04.749,Пришло,""ПОС ГТУ не выключен"",Предупреждение,
02.12.2022,10:24:04.760,Пришло,""Работает ПОС ГТУ"",Фаза технологического процесса,
02.12.2022,10:25:07.203,Заквитировано,""ПОС ГТУ не выключен"",Предупреждение,
02.12.2022,10:25:35.300,Снялось,""Открыть КНГТУ"",Выход,
02.12.2022,10:25:35.498,Снялось,""Включить ВНГТУ"",Выход,
02.12.2022,10:25:35.896,Снялось,""ВНГТУ включен"",Вход,
02.12.2022,10:25:38.098,Снялось,""КНГТУ открыт"",Вход,
02.12.2022,10:26:03.937,Снялось,""Контур прогрева на минимальном режиме"",Фаза технологического процесса,
02.12.2022,10:28:45.502,Пришло,""Готовность электро-стартера"",Вход,
02.12.2022,10:29:04.959,Снялось,""Прогрев на холостом ходу"",Фаза технологического процесса,
02.12.2022,10:29:05.139,Снялось,"" АПК"",Сообщение об изменении режима работы агрегата,
02.12.2022,10:29:05.139,Пришло,"" Кольцо"",Сообщение об изменении режима работы агрегата,
02.12.2022,10:29:05.166,Снялось,""Запись ретро пуска"",Фаза технологического процесса,
02.12.2022,10:29:05.548,Снялось,""Нет U на электропр. особой группы от ввода 4 (ИБП)"",Предупреждение,
02.12.2022,10:29:05.917,Пришло,""Открыть ЗПЦВ"",Выход,
02.12.2022,10:29:05.958,Пришло,""Условия обледенения ВОУ"",Фаза технологического процесса,
02.12.2022,10:29:07.105,Снялось,""ЗПЦВ закрыта"",Вход,
02.12.2022,10:29:16.720,Пришло,""ЗПЦВ открыта"",Вход,
02.12.2022,10:29:16.962,Пришло,""ЗПЦВ открыта"",Фаза технологического процесса,
02.12.2022,10:29:19.322,Снялось,""Открыть ЗПЦВ"",Выход,
02.12.2022,10:29:24.321,Пришло,""Включить ЭНБП"",Выход,
02.12.2022,10:29:24.720,Пришло,""ЭНБП включены"",Вход,
02.12.2022,10:29:45.318,Снялось,""Включить питание электростартера"",Выход,
02.12.2022,10:29:45.913,Снялось,""Готовность электро-стартера"",Вход,
02.12.2022,10:31:18.537,Нажата кнопка,""СтабилизациЯ Nст вкл."",Кнопка,
02.12.2022,10:31:18.551,Пришло,""Контур стабилизации СТ"",Фаза технологического процесса,
02.12.2022,10:31:18.552,Пришло,""стабилизация СТ на режиме"",Фаза технологического процесса,
02.12.2022,10:31:32.847,Изменен,""PULT2_2ST. МВ_Кожевников: 6249.1 -> 7000.0 : 'Задание на частоту вращения, об/мин'"",Изменение настроек,
02.12.2022,10:31:37.555,Снялось,""Контур ограничения ГГ на минимальном режиме"",Фаза технологического процесса,
02.12.2022,10:31:37.555,Снялось,""Открыть КПВ"",Прочие сообщения,
02.12.2022,10:31:37.718,Снялось,""Открыть КПВ"",Выход,
02.12.2022,10:31:37.913,Снялось,""КПВ открыты"",Вход,
02.12.2022,10:31:38.158,Пришло,""Контур ограничения ГГ на минимальном режиме"",Фаза технологического процесса,
02.12.2022,10:31:38.360,Снялось,""Регулирование ВОД2 по Т в БС"",Прочие сообщения,
02.12.2022,10:31:38.360,Пришло,""Регулирование ВОД2 по dP БС"",Прочие сообщения,
02.12.2022,10:31:39.158,Снялось,""Контур ограничения ГГ на минимальном режиме"",Фаза технологического процесса,
02.12.2022,10:31:39.946,Пришло,""Взведена защита: Входной тракт двигателя засорен"",Прочие сообщения,
02.12.2022,10:31:40.758,Пришло,""Регулирование ВОД2 по Т в БС"",Прочие сообщения,
02.12.2022,10:31:40.758,Снялось,""Регулирование ВОД2 по dP БС"",Прочие сообщения,
02.12.2022,10:31:42.348,Снялось,""Взведена защита: Входной тракт двигателя засорен"",Прочие сообщения,
02.12.2022,10:31:44.150,Пришло,""Взведена защита: Входной тракт двигателя засорен"",Прочие сообщения,
02.12.2022,10:32:01.518,Снялось,""АВОМД работает в режиме 'Нагрев'"",Вход,
02.12.2022,10:32:01.518,Снялось,""АВОМД готов к пуску (прогрет) - сигнал 'Норма'"",Вход,
02.12.2022,10:32:01.518,Пришло,""АВОМД работает в режиме 'Охлаждение'"",Вход,
02.12.2022,10:32:01.521,Пришло,""Открыть ЗсМОД1"",Выход,
02.12.2022,10:32:01.521,Пришло,""Открыть ЗсМОД2"",Выход,
02.12.2022,10:32:01.752,Пришло,""Зс2 МОД закрыта"",Предупреждение,
02.12.2022,10:32:01.753,Пришло,""Зс1 МОД закрыта"",Предупреждение,
02.12.2022,10:32:02.320,Снялось,""ЗсМОД2 закрыта"",Вход,
02.12.2022,10:32:02.354,Снялось,""Зс2 МОД закрыта"",Предупреждение,
02.12.2022,10:32:02.519,Снялось,""ЗсМОД1 закрыта"",Вход,
02.12.2022,10:32:02.552,Снялось,""Зс1 МОД закрыта"",Предупреждение,
02.12.2022,10:32:03.554,Снялось,""АВОМД | Нагрев"",Прочие сообщения,
02.12.2022,10:32:03.554,Пришло,""АВОМД | Охлаждение"",Прочие сообщения,
02.12.2022,10:32:03.554,Снялось,""АВОМД | Норма"",Прочие сообщения,
02.12.2022,10:32:05.906,Заквитировано,""Зс1 МОД закрыта"",Предупреждение,
02.12.2022,10:32:05.906,Заквитировано,""Зс2 МОД закрыта"",Предупреждение,
02.12.2022,10:32:11.114,Пришло,""ЗсМОД1 открыта"",Вход,
02.12.2022,10:32:11.714,Пришло,""ЗсМОД2 открыта"",Вход,
02.12.2022,10:32:14.315,Снялось,""Открыть ЗсМОД1"",Выход,
