Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Архив останова
Дата,27.09.23
Время,12:57:39
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00
Шаг дискретизации (сек),1.00

Время,"Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Qбфг на входе 1ой ступени СГУ (сторона прив.), м3/ч, м3/ч","Расчетная степень сжатия Км,","Частота вращения ротора СТ (1), об/мин","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Помпажный запас, %"
,-0.30_10.30,-0.30_10.30,29.20_410.80,1.00_3.00,-300.00_10300.00,-3.00_103.00,-66.30_156.30,-66.30_156.30,-7.50_257.50,-7.50_257.50,-7.50_257.50,-7.50_257.50,-1.06_1.06,-4.80_164.80,-10.00_100.00
-1199.77,3.3116,6.0550,428.5677,1.8039,8297.2158,59.9501,18.1859,66.4119,31.9372,25.8880,26.9278,23.9619,0.4982,46.8866,25.5472
-1198.77,3.3116,6.0565,428.5677,1.8048,8295.3281,59.9718,18.1859,66.4119,31.9372,24.8843,26.9278,23.9619,0.4972,46.9387,25.6218
-1197.77,3.3116,6.0554,428.5677,1.8043,8295.7021,59.9935,18.1859,66.4876,22.9402,24.8843,22.9402,22.9673,0.4992,46.6782,25.3747
-1196.77,3.3105,6.0540,428.5677,1.8041,8297.9648,59.9501,18.1859,66.4876,22.9402,27.8953,22.9402,22.9673,0.4992,46.8056,25.3959
-1195.77,3.3116,6.0540,428.5677,1.8039,8296.0820,59.9139,18.1859,66.4876,32.9319,27.8953,26.9278,25.9603,0.4992,46.6782,25.3981
-1194.77,3.3116,6.0518,428.5677,1.8036,8298.3408,59.9212,18.1859,66.4876,32.9319,27.8953,26.9278,25.9603,0.4993,46.7188,25.3680
-1193.77,3.3105,6.0529,428.5677,1.8039,8296.4600,59.9609,18.1859,66.4876,29.9389,27.8953,25.9332,23.9619,0.4993,46.8634,25.4970
-1192.77,3.3105,6.0692,428.5677,1.8075,8294.9453,60.5758,18.1859,66.4876,29.9389,23.8896,25.9332,23.9619,0.4993,46.5914,25.3247
-1191.77,3.3116,6.1017,428.5677,1.8165,8292.3184,60.9158,18.1859,66.4876,27.9405,23.8896,23.9439,21.9546,0.5028,46.0995,24.9607
-1190.77,3.3105,6.1310,428.5677,1.8258,8287.7617,61.0930,18.1859,66.4876,27.9405,31.8830,23.9439,21.9546,0.5051,45.6944,24.7172
-1189.77,3.3105,6.1545,428.5677,1.8331,8282.9248,61.1690,18.1859,66.5633,40.9342,31.8830,31.9282,27.9586,0.5072,45.3241,24.5384
-1188.77,3.3105,6.1740,428.5677,1.8388,8282.4785,61.2703,18.1859,66.5633,40.9342,21.8913,31.9282,27.7868,0.5102,45.0058,
-1187.77,3.3105,6.1871,428.5677,1.8430,8277.5791,61.3245,18.1859,66.5633,26.9459,21.8913,23.9439,22.9673,0.5112,44.9190,
-1186.77,3.3105,6.1957,428.5677,1.8455,8273.4365,61.3968,18.1859,66.5633,26.9459,25.8880,23.9439,22.9673,0.5132,44.6007,
-1185.77,3.3105,6.1994,428.5677,1.8470,8273.4365,61.3715,18.1859,66.5633,34.9302,25.8880,28.9352,25.9603,0.5132,44.4560,
-1184.77,3.3105,6.2052,428.5677,,8270.5605,61.3064,18.1859,66.5633,34.9302,27.8772,28.9352,25.9603,0.5142,44.4560,
-1183.77,3.3105,6.2066,428.5677,,8271.1797,61.3281,18.1859,66.5633,30.9426,27.8772,25.9332,24.9656,0.5162,44.4213,
-1182.77,3.3105,6.2077,428.5677,,8271.5547,61.3245,18.1859,66.6390,30.9426,29.8937,25.9332,24.9656,0.5162,44.2188,
-1181.77,3.3105,6.2077,428.5677,,8272.3076,61.3173,18.1859,66.6390,38.9359,29.8937,30.9335,26.9640,0.5162,44.4155,
-1180.77,3.3105,6.2102,428.5677,,8271.3086,61.2956,18.1859,66.6390,38.9359,21.8913,30.9335,26.9640,0.5162,44.2882,
-1179.77,3.3105,6.2091,428.5677,,8272.6836,61.2920,18.1859,66.6390,26.9459,21.8913,25.9332,22.9673,0.5153,44.3345,
-1178.77,3.3105,6.2113,428.5677,,8276.2803,61.3173,18.1859,66.6390,26.9459,27.8953,25.9332,22.9673,0.5152,44.3345,
-1177.77,3.3095,6.2113,428.5677,,8283.3027,61.2811,18.1859,66.6390,33.9355,27.8953,27.9405,25.9603,0.5171,44.5023,
-1176.77,3.3095,6.2149,428.5677,,8289.6855,61.2522,18.1859,66.6390,33.9355,28.8900,27.9405,26.4667,0.5171,44.6007,
-1175.77,3.3095,6.2196,428.5677,,8293.8223,61.2341,18.1859,66.6390,39.9396,28.8900,34.9302,28.9533,0.5171,44.5370,
-1174.77,3.3095,6.2221,428.5677,,8294.9541,61.2775,18.1859,66.6390,39.9396,37.8870,34.9302,28.9533,0.5182,44.5313,
-1173.77,3.3095,6.2258,428.5677,,8293.4482,61.3173,18.1859,66.7147,46.9383,37.8870,37.9322,34.9573,0.5192,44.5602,
-1172.77,3.3095,6.2258,428.5677,,8293.4316,61.2811,18.1859,66.7147,46.9383,24.8843,37.9322,34.9573,0.5182,44.4907,
-1171.77,3.3095,6.2258,428.5677,,8292.6943,61.2920,18.1859,66.7147,39.9396,24.8843,32.9319,29.9570,0.5202,44.4907,
-1170.77,3.3084,6.2247,428.5677,,8292.6943,61.2522,18.1859,66.7147,39.9396,31.8830,32.9319,29.9570,0.5192,44.6181,
-1169.77,3.3095,6.2247,428.5677,,8290.7861,61.2739,18.1859,66.7147,40.9342,31.8830,31.9282,29.9570,0.5182,44.6470,
-1168.77,3.3095,6.2269,428.5677,,8291.5410,61.3100,18.1859,66.7147,40.9342,29.8937,31.9282,29.9570,0.5171,44.5139,
-1167.77,3.3095,6.2269,428.5677,,8293.8223,61.3137,18.1859,66.7904,32.9319,29.8937,29.9389,28.9533,0.5171,44.6470,
-1166.77,3.3084,6.2294,428.5677,,8292.3184,61.3317,18.1859,66.7904,32.9319,25.8880,29.9389,28.9533,0.5162,44.7454,
-1165.77,3.3084,6.2294,428.5677,,8293.0713,61.3137,18.1859,66.7904,34.9302,25.8880,29.9389,26.9640,0.5162,44.5081,
-1164.77,3.3084,6.2294,428.5677,,8294.9541,61.3534,18.1859,66.7904,34.9302,29.8937,29.9389,26.9640,0.5171,44.6238,
-1163.77,3.3084,6.2294,428.5677,,8293.0713,61.3281,18.1859,66.7904,32.9319,29.8937,29.9389,25.9603,0.5162,44.5139,
-1162.77,3.3084,6.2305,428.5677,,8292.3184,61.3137,18.1859,66.7904,32.9319,28.8900,29.9389,25.9603,0.5161,44.4734,
-1161.77,3.3084,6.2272,428.5677,,8294.5771,61.3137,18.1859,66.7904,33.9355,28.8900,28.9352,26.9640,0.5162,44.5486,
-1160.77,3.3084,6.2258,428.5677,,8294.1992,61.2739,18.1859,66.8661,33.9355,23.8987,28.9352,26.9640,0.5158,44.5023,
-1159.77,3.3084,6.2236,428.5677,,8294.9541,61.2992,18.1859,66.8661,31.9372,23.8987,26.9278,22.9673,0.5162,44.4039,
-1158.77,3.3084,6.2221,428.5677,,8294.9541,61.2558,18.1859,66.8661,31.9372,25.8880,26.9278,22.9673,0.5152,44.4850,
-1157.77,3.3084,6.2174,428.5677,,8296.8340,61.1907,18.1859,66.8661,31.9372,25.8880,23.9348,24.9656,0.5152,44.5486,
-1156.77,3.3084,6.2138,428.5677,,8296.4600,61.1147,18.1859,66.8661,31.9372,24.8843,23.9348,24.9656,0.5152,44.7164,
-1155.77,3.3084,6.2102,428.5677,,8298.7188,61.0026,18.1859,66.9418,33.9355,24.8843,28.9442,25.9603,0.5142,44.6470,
-1154.77,3.3084,6.2019,428.5677,,8299.8467,60.9375,18.1859,66.9418,33.9355,27.8953,28.9442,25.9603,0.5142,44.7801,
-1153.77,3.3084,6.1910,428.5677,,8301.4063,60.7856,18.1859,66.9418,30.9426,27.8953,26.9278,24.9656,0.5132,44.9942,
-1152.77,3.3084,6.1787,428.5677,,8300.9785,60.6916,18.1859,66.9418,30.9426,26.9007,26.9278,24.9656,0.5122,45.1505,
-1151.77,3.3084,6.1643,428.5677,,8303.2402,60.5903,18.1859,66.9418,33.9355,26.9007,29.9298,21.9546,0.5112,45.3993,
-1150.77,3.3084,6.1516,428.5677,,8303.9941,60.4854,18.1859,66.9418,33.9355,28.8900,29.9298,21.9546,0.5102,45.6597,
-1149.77,3.3084,6.1408,428.5677,,8307.2813,60.3733,18.1859,66.9418,38.9359,28.8900,31.9282,30.9516,0.5092,45.6887,
