Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Текущий
Дата,28.09.24
Время,19:30:43
Длительность архива (сек),25200.00
Время предыстории (сек),25200.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Расчетная степень сжатия Км,"
,-300.00_10300.00,-0.30_10.30,-0.30_10.30,-3.00_103.00,-66.30_156.30,-66.30_156.30,-7.50_257.50,-7.50_257.50,-7.50_257.50,-7.50_257.50,-1.06_1.06,-4.80_164.80,1.00_3.00
-25199.88,7761.6782,3.9779,6.9806,100.1085,21.3634,72.9204,35.9520,28.9081,23.9439,20.9599,0.7210,39.2130,1.7364
-25198.88,7763.7095,3.9779,6.9806,100.1447,21.3634,72.9204,34.9483,28.9081,23.9439,20.9599,0.7210,38.9005,1.7364
-25197.88,7766.7695,3.9779,6.9817,100.0904,21.3634,72.9204,35.1110,27.9134,23.9439,20.9599,0.7210,38.6690,1.7365
-25196.88,7766.2705,3.9779,6.9806,100.0615,21.3634,72.9204,35.9520,27.9134,23.9439,22.9763,0.7210,38.7442,1.7363
-25195.88,7766.4214,3.9779,6.9806,100.0434,21.3634,72.9204,34.9754,27.9134,23.9439,22.9763,0.7210,38.8715,1.7364
-25194.88,7764.4116,3.9779,6.9817,100.0977,21.3634,72.9204,34.9483,27.9134,23.9439,20.9599,0.7210,39.1030,1.7366
-25193.88,7764.8550,3.9779,6.9817,100.0615,21.3634,72.9204,34.9483,29.9117,24.9385,20.9599,0.7210,38.9294,1.7365
-25192.88,7765.2104,3.9779,6.9806,100.1013,21.3634,72.9204,34.9483,29.9117,24.9385,20.9599,0.7210,38.9525,1.7365
-25191.88,7763.3579,3.9779,6.9817,100.1157,21.3634,72.9204,34.9483,29.9117,26.9459,22.9763,0.7210,39.0046,1.7366
-25190.88,7765.5645,3.9779,6.9817,100.1194,21.3634,72.9204,35.9520,29.9117,26.9459,22.9763,0.7210,38.8773,1.7366
-25189.88,7765.5645,3.9779,6.9817,100.1411,21.3634,72.9204,,28.9081,21.9455,21.9727,0.7210,39.0394,1.7365
