Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Текущий
Дата,02.12.22
Время,10:45:15
Длительность архива (сек),300.00
Время предыстории (сек),300.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Помпажный запас, %","Расчетная степень сжатия Км,","Частота вращения ротора СТ (2), об/мин"
-299.00,8389.9258,3.1576,4.1630,37.9666,14.9075,37.7262,23.9619,23.9258,21.9455,24.9747,0.3203,95.2662,47.0845,1.3074,8389.9258
-298.00,8376.6074,3.1576,4.1981,39.2144,14.9075,37.8036,30.8341,23.9258,28.9442,29.9570,0.3244,94.8032,47.1016,1.3181,8376.9893
-297.00,8365.5791,3.1576,4.2285,39.7389,14.9075,37.8036,30.9697,28.9081,28.9442,29.9570,0.3264,93.9352,46.9892,1.3277,8365.6055
-296.00,8355.0859,3.1576,4.2538,40.1476,14.9075,37.8812,27.9496,28.9081,22.9492,22.9673,0.3283,93.5648,46.9907,1.3354,8354.6299
-295.00,8346.9580,3.1576,4.2737,40.2308,14.9075,37.8812,27.9496,26.9278,22.9492,22.9673,0.3304,93.1829,46.9700,1.3417,8346.9580
-294.00,8341.2764,3.1576,4.2882,40.2308,14.9075,37.8812,27.9496,26.9278,24.9385,26.9640,0.3304,92.7662,46.9198,1.3462,8340.8975
-293.00,8337.3203,3.1576,4.2943,40.2235,14.9075,37.9587,27.9496,24.9204,24.9385,26.9640,0.3323,92.6620,46.9347,1.3485,8337.4922
-292.00,8349.9932,3.1576,4.2980,40.2380,14.9075,37.9587,30.9697,24.9204,23.9439,26.9640,0.3333,92.7546,46.7562,1.3496,8350.3711
-291.00,8381.4395,3.1576,4.3016,40.2380,14.9075,37.9587,30.9697,26.9188,23.9439,26.9640,0.3333,93.0961,46.5192,1.3508,8381.1162
-290.00,8402.3018,3.1576,4.3077,40.2452,14.9075,38.0353,29.9570,26.9188,23.9439,26.9640,0.3343,93.6979,46.4503,1.3524,8402.3018
-289.00,8414.1689,3.1576,4.3135,40.2127,14.9075,38.0353,29.9570,22.9311,23.9439,26.9640,0.3363,93.9583,46.4145,1.3545,8413.9482
-288.00,8415.1582,3.1576,4.3207,40.2308,14.9075,38.1110,35.9610,22.9311,23.9439,28.9623,0.3383,94.4618,46.5347,1.3565,8414.5488
-287.00,8415.0840,3.1576,4.3244,40.2127,14.9075,38.1110,35.9610,28.6730,23.9439,28.9623,0.3393,94.1840,46.4754,1.3578,8415.8457
-286.00,8414.1689,3.1576,4.3269,40.2091,14.9075,38.1110,36.9557,30.9245,28.9442,29.9570,0.3373,94.3113,46.5265,1.3585,8414.1689
-285.00,8414.7754,3.1576,4.3280,40.2235,14.9075,38.1867,36.9557,27.9225,28.9442,29.9570,0.3373,94.2477,46.5023,1.3589,8414.5488
-284.00,8414.1689,3.1576,4.3294,40.2054,14.9075,38.1867,34.9573,27.9225,30.9426,29.9570,0.3393,94.2535,46.4999,1.3591,8414.3906
-283.00,8414.3906,3.1576,4.3294,40.1548,14.9075,38.2624,34.9573,24.9204,30.9426,29.9570,0.3393,94.4213,46.5516,1.3594,8414.1689
-282.00,8413.6240,3.1576,4.3294,40.2091,14.9075,38.2624,28.9533,24.9204,26.9459,24.9656,0.3393,94.4329,46.5663,1.3594,8414.1689
-281.00,8413.4063,3.1576,4.3294,40.1946,14.9075,38.2624,28.9533,26.9278,26.9459,24.9656,0.3380,94.3576,46.5534,1.3594,8413.2393
-280.00,8414.1689,3.1576,4.3294,40.1403,14.9075,38.3381,23.9619,26.9278,25.9512,27.9586,0.3393,94.2245,46.5030,1.3594,8413.7861
-279.00,8414.7754,3.1576,4.3294,40.1512,14.9075,38.3381,23.9619,22.9311,25.9512,27.9586,0.3393,94.1724,46.4871,1.3594,8415.3115
-278.00,8415.5391,3.1576,4.3294,40.1656,14.9075,38.4138,28.9533,22.9311,21.9455,23.9710,0.3393,94.2882,46.5099,1.3594,8414.9316
-277.00,8414.0068,3.1576,4.3294,40.1222,14.9075,38.4138,28.9533,28.9171,21.9455,23.9710,0.3383,94.3461,46.5350,1.3594,8414.3906
-276.00,8414.9316,3.1586,4.3283,40.1150,14.9075,38.4138,31.9643,28.9171,28.9442,29.9570,0.3393,94.2882,46.5069,1.3586,8414.7754
-275.00,8415.6953,3.1586,4.3269,40.0499,14.9075,38.4895,31.9643,25.2098,28.9442,29.9570,0.3393,94.2014,46.4754,1.3582,8415.5391
-274.00,8417.4580,3.1586,4.3269,40.0571,14.9075,38.4895,26.9640,24.9204,26.9459,24.9656,0.3393,94.2998,46.4718,1.3582,8417.2197
-273.00,8419.8916,3.1586,4.3247,39.9378,14.9075,38.5653,26.9640,25.9241,26.9459,24.9656,0.3373,94.2245,46.4310,1.3574,8419.7617
-272.00,8419.8916,3.1586,4.3222,39.9197,14.9075,38.5653,26.9640,25.9241,25.9512,26.9640,0.3379,94.3461,46.4705,1.3568,8419.8916
-271.00,8419.1289,3.1586,4.3197,39.8329,14.9075,38.5653,26.9640,26.9278,25.9512,26.9640,0.3373,94.4734,46.5200,1.3562,8418.7461
-270.00,8419.3770,3.1586,4.3186,39.8148,14.9075,38.6410,22.9673,26.9278,23.9439,26.9640,0.3363,94.6007,46.5401,1.3557,8419.1289
-269.00,8420.6572,3.1586,4.3160,39.7931,14.9075,38.6410,22.9673,21.9274,23.9439,26.9640,0.3375,94.5428,46.5070,1.3549,8421.0400
-268.00,8421.8018,3.1586,4.3139,39.6774,14.9075,38.7166,27.9586,21.9274,21.9455,24.9656,0.3373,94.4849,46.4839,1.3542,8422.0645
-267.00,8423.3320,3.1586,4.3103,39.6231,14.9075,38.7166,27.9586,24.9204,21.9455,24.9656,0.3373,94.4155,46.4359,1.3533,8423.7139
-266.00,8425.6260,3.1586,4.3077,39.5580,14.9075,38.7166,31.9463,24.9204,24.9385,28.9623,0.3363,94.7917,46.5110,1.3525,8425.2432
-265.00,8427.1572,3.1586,4.3066,39.4893,14.9075,38.7923,31.9463,26.9278,24.9385,28.9623,0.3363,94.8843,46.5273,1.3519,8427.5371
-264.00,8427.5371,3.1586,4.3041,39.4459,14.9075,38.7923,30.9968,26.9278,26.9459,25.9603,0.3354,94.9826,46.5544,1.3512,8427.1572
-263.00,8426.7744,3.1586,4.3041,39.4242,14.9075,38.8680,30.9697,26.9278,26.9459,25.9603,0.3363,95.1099,46.6113,1.3512,8427.1572
-262.00,8426.7744,3.1586,4.3016,39.3989,14.9075,38.8680,28.9533,26.9278,26.9459,26.9640,0.3345,94.8380,46.5279,1.3505,8427.4463
