Система автоматизации,AS
Абонент,ГПА2
Ретросистема,Текущий
Дата,17.04.15
Время,11:39:11
Длительность архива (сек),900.00
Время предыстории (сек),900.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Pбг на вых. 1ст.СГУ  ПОН, кПа","Pбг на вых. 1ст.СГУ   ЗОН, кПа","dP газа на внутреннем лабиринте газ-газ ЗОН, кПа","Положение регулирующего клапана газ-газ ЗОН, %","Конц. метана после 2ст. СГУ переднего, %","Конц. метана после 2ст. СГУ заднего, %","Осевой сдвиг ротора нагнетателя, мм"
-900.10,8531.6445,16.8403,15.2995,114.0046,15.3248,1.0525,4.9117,0.2627
-899.10,8534.0303,16.8403,15.2995,114.5381,15.3248,1.5480,5.4253,0.2627
-898.10,8540.4941,16.8403,15.3646,114.1764,15.3248,1.0597,5.4362,0.2621
-897.10,8541.1758,16.8403,15.3646,113.6791,15.3248,1.0489,5.4470,0.2616
-896.10,8539.9336,16.8403,15.3646,114.1583,15.3248,1.0489,5.4470,0.2621
-895.10,8540.1943,16.8403,15.3646,113.2541,15.3248,1.5553,5.4470,0.2622
-894.10,8540.1943,16.8403,15.3646,113.3717,15.3248,1.5770,5.4470,0.2606
-893.10,8534.4209,16.8403,15.3646,114.6828,15.3248,1.0561,5.4470,0.2631
-892.10,8527.3525,16.8403,15.3646,114.3482,15.3248,1.0561,5.4470,0.2606
-891.10,8520.0273,16.8403,15.3646,114.2036,15.3248,1.0561,5.4470,0.2636
-890.10,8518.8535,16.8403,15.3646,113.2993,15.3248,1.5408,5.4470,0.2602
-889.10,8519.2412,16.8403,15.3646,112.7658,15.3248,1.0670,5.4470,0.2631
-888.10,8518.8535,16.8403,15.3646,114.4387,15.3248,1.0525,5.4470,0.2631
-887.10,8515.3330,16.8403,15.3646,113.9413,15.3248,1.0525,5.4470,0.2617
-886.10,8514.9063,16.8403,15.3646,113.5796,15.3248,1.0525,5.4470,0.2612
-885.10,8515.3330,16.8403,15.3646,113.7967,15.3248,1.0525,5.4470,0.2631
-884.10,8513.9121,16.8403,15.3646,112.8472,15.3248,1.0525,5.4470,0.2636
-883.10,8514.1699,16.8403,15.3646,113.5887,15.3248,1.0525,5.4470,0.2606
-882.10,8513.0986,16.8403,15.3646,114.3663,15.3248,1.0525,5.4470,0.2625
-881.10,8515.4082,16.8403,15.3646,113.4350,15.3248,1.0525,5.4470,0.2607
-880.10,8513.4385,16.8403,15.3646,113.6791,15.3248,1.5625,5.4470,0.2616
-879.10,8510.8516,16.8403,15.3646,113.4440,15.3248,1.0597,5.4470,0.2650
-878.10,8515.7227,16.8403,15.3646,114.0408,15.3248,1.0489,4.9226,0.2616
-877.10,8514.5967,16.8403,15.3646,114.4748,15.3248,1.0489,5.4326,0.2627
-876.10,8513.3447,16.8403,15.3646,113.3536,15.3248,1.0489,5.4434,0.2679
-875.10,8513.3447,16.8403,15.3646,114.3663,15.3248,1.0489,4.9190,0.2625
-874.10,8515.3330,16.8403,15.3646,114.2126,15.3248,1.0561,4.9190,0.2636
-873.10,8516.1436,16.8403,15.3646,113.6881,15.3248,1.0561,4.9190,0.2603
-872.10,8513.4854,16.8403,15.3646,113.2089,15.3248,1.0561,5.4362,0.2620
-871.10,8514.8662,16.8403,15.3646,113.8871,15.3248,1.0959,5.4470,0.2606
-870.10,8517.3047,16.8403,15.3646,113.6610,15.3248,1.0561,5.4470,0.2631
-869.10,8513.7803,16.8403,15.3646,114.3844,15.3248,1.0561,5.4470,0.2607
-868.10,8515.8594,16.8403,15.3646,113.6249,15.3248,1.0561,5.4470,0.2616
-867.10,8517.3340,16.8403,15.3646,113.9865,15.3248,1.0561,5.4470,0.2606
-866.10,8518.8916,16.8403,15.3646,113.8600,15.3248,1.0561,5.4470,0.2596
-865.10,8518.7939,16.8403,15.3646,114.1312,15.3248,1.0561,4.9262,0.2606
-864.10,8518.4668,16.8403,15.3646,113.9052,15.3248,1.0561,4.9117,0.2627
-863.10,8516.8604,16.8403,15.3646,113.1366,15.3248,1.0561,4.9117,0.2631
-862.10,8509.5732,16.8403,15.3646,113.6701,15.3248,1.0561,4.9117,0.2627
-861.10,8504.8535,16.8403,15.3646,113.4802,15.3248,1.0561,4.9117,0.2606
-860.10,8492.7656,16.8403,15.3646,113.5525,15.3248,1.0561,4.9117,0.2631
-859.10,8484.7451,16.8403,15.3646,113.6339,15.3248,1.1502,4.9117,0.2616
-858.10,8472.6592,16.9271,15.3646,113.3717,15.3248,1.5734,4.9117,0.2627
-857.10,8462.8008,16.9271,15.4297,113.5073,15.3248,1.0597,4.9117,0.2627
-856.10,8458.9648,16.9271,15.4297,112.8020,15.3248,1.0489,4.9117,0.2627
-855.10,8454.7920,16.9271,15.3646,114.3482,15.3248,1.0489,5.4181,0.2646
-854.10,8446.3320,16.9271,15.3646,113.6791,15.3248,1.0489,5.4434,0.2627
-853.10,8438.3027,16.9271,15.3646,113.5977,15.3248,1.0489,5.4434,0.2650
-852.10,8432.1309,16.9271,15.3646,112.9557,15.3248,1.0489,5.4434,0.2636
-851.10,8427.3516,16.9271,15.4297,113.6249,15.3248,1.5480,5.4434,0.2627
-850.10,8427.5371,16.9271,15.4297,113.4079,15.3248,1.0597,5.4434,0.2631
-849.10,8429.5352,16.9271,15.4297,113.1275,15.3248,1.5480,5.4434,0.2650
-848.10,8429.5352,16.9271,15.3646,114.2126,15.3248,1.0597,5.4434,0.2627
-847.10,8427.8301,16.9271,15.3646,114.0951,15.3248,1.0489,4.9226,0.2642
-846.10,8429.0684,16.9271,15.3646,114.0227,15.3248,1.0489,5.4362,0.2636
-845.10,8425.3447,16.9271,15.3646,113.8961,15.3248,1.0489,5.4362,0.2632
-844.10,8416.9863,16.9271,15.3646,113.7334,15.3248,1.0489,4.9298,0.2627
-843.10,8409.3984,16.9271,15.4297,113.5706,15.3248,1.0489,5.4326,0.2645
-842.10,8405.9639,16.9271,15.4297,114.4929,15.3248,1.0489,5.4434,0.2636
-841.10,8407.1025,16.9271,15.4297,113.9775,15.3248,1.0489,5.4434,0.2636
-840.10,8405.4043,16.9271,15.3646,113.0462,15.3248,1.0489,5.4434,0.2631
-839.10,8405.5840,16.9271,15.3646,113.9142,15.3248,1.0489,5.4434,0.2616
-838.10,8404.6436,16.9271,15.3646,112.8653,15.3248,1.0489,5.4434,0.2641
-837.10,8401.6934,16.9271,15.3646,113.3898,15.3248,1.5191,5.4434,0.2631
-836.10,8401.3076,16.9271,15.3646,113.7334,15.3248,1.0561,5.4434,0.2636
-835.10,8403.7129,16.9271,15.4297,112.9648,15.3248,1.0561,5.4434,0.2627
-834.10,8399.4082,16.9271,15.4297,112.8020,15.3248,1.5589,5.4434,0.2621
-833.10,8397.2822,16.9271,15.4297,114.2126,15.3248,1.0597,5.4434,0.2616
-832.10,8400.2314,16.9271,15.4297,113.4350,15.3248,1.0489,5.4434,0.2650
-831.10,8403.0713,16.9271,15.4297,113.2541,15.3248,1.0489,4.9298,0.2606
-830.10,8400.6113,16.9271,15.4297,112.6664,15.3248,1.0489,5.4290,0.2631
-829.10,8400.9219,16.9271,15.4297,112.9467,15.3248,1.0489,4.9262,0.2640
-828.10,8402.1406,16.9271,15.4297,113.1818,15.3248,1.5082,5.0130,0.2606
-827.10,8402.9053,16.9271,15.4297,113.0462,15.3248,1.0561,4.9226,0.2636
-826.10,8403.1221,16.9271,15.4297,113.6791,15.3248,1.0561,4.9117,0.2627
-825.10,8402.7412,16.9271,15.4297,113.1366,15.3248,1.0561,4.9117,0.2627
-824.10,8402.1406,16.9271,15.4297,113.5254,15.3248,1.4142,4.9117,0.2627
-823.10,8403.0713,16.9271,15.4297,113.7334,15.3248,1.5770,4.9117,0.2621
-822.10,8403.7949,16.9271,15.4297,113.0733,15.3248,1.0597,4.9117,0.2621
-821.10,8405.7607,16.9271,15.4297,113.9142,15.3248,1.0489,4.9117,0.2650
-820.10,8405.5840,16.9271,15.4297,112.9557,15.3248,1.5372,4.9117,0.2616
-819.10,8405.9873,16.9271,15.4297,113.5525,15.3248,1.0706,4.9117,0.2632
-818.10,8405.9639,16.9271,15.4297,113.2179,15.3248,1.0561,4.9117,0.2616
-817.10,8401.0664,16.9271,15.4297,114.1312,15.3248,1.0561,4.9117,0.2616
-816.10,8399.6143,16.9271,15.4297,114.3392,15.3248,1.0561,4.9117,0.2598
-815.10,8403.1221,16.9271,15.4297,113.1637,15.3248,1.0561,4.9117,0.2607
-814.10,8405.7607,16.9271,15.4297,113.4802,15.3248,1.0561,4.9117,0.2632
-813.10,8404.2646,16.9271,15.4297,113.5525,15.3248,1.0561,4.9117,0.2616
-812.10,8403.6699,16.9271,15.4297,113.8961,15.3248,1.0561,4.9117,0.2621
-811.10,8402.0791,16.9271,15.4297,112.4042,15.3248,1.0561,4.9117,0.2616
-810.10,8399.6992,16.9271,15.4297,113.0281,15.3248,1.0561,4.9117,0.2602
-809.10,8401.6006,16.9271,15.4297,112.9648,15.3248,1.0561,4.9117,0.2602
-808.10,8403.5020,16.9271,15.4297,113.0281,15.3248,1.0561,4.9117,0.2631
-807.10,8404.0508,16.9271,15.4297,113.5525,15.3248,1.0561,4.9117,0.2606
-806.10,8404.0918,16.9271,15.4297,113.9594,15.3248,1.0561,4.9117,0.2606
-805.10,8405.9873,16.9271,15.4297,113.5435,15.3248,1.1972,4.3981,0.2622
-804.10,8405.9873,16.9271,15.4297,113.8600,15.3248,1.0670,4.9045,0.2607
-803.10,8404.8164,16.9271,15.4297,113.7695,15.3248,1.0525,4.3873,0.2616
-802.10,8404.2646,16.9271,15.4297,113.9052,15.3248,1.0525,4.3873,0.2616
-801.10,8406.3486,16.9271,15.4297,114.0227,15.3248,1.0525,4.3873,0.2606
-800.10,8406.1670,16.9271,15.4297,113.6158,15.3248,1.0525,4.3873,0.2631
-799.10,8406.5469,16.9271,15.4297,113.7062,15.3248,1.0525,4.3873,0.2603
-798.10,8407.8818,16.9271,15.4297,114.6105,15.3248,1.0525,4.3873,0.2636
-797.10,8406.5313,16.9271,15.4297,113.9142,15.3248,1.0525,4.3873,0.2616
-796.10,8405.9443,16.9271,15.4297,113.2541,15.3248,1.5372,4.3873,0.2679
-795.10,8408.2607,16.9271,15.4297,112.6483,15.3248,1.0706,4.3873,0.2616
-794.10,8407.3096,16.9271,15.4297,113.8238,15.3248,1.5408,4.3873,0.2622
-793.10,8406.7285,16.9271,15.4297,114.1764,15.3248,1.0706,4.3873,0.2611
-792.10,8408.6396,16.9271,15.4297,113.4440,15.3248,1.5444,4.3873,0.2606
-791.10,8403.5020,16.9271,15.4297,113.0914,15.3248,1.0670,4.3873,0.2607
-790.10,8405.9443,16.9271,15.4297,112.7749,15.3248,1.0525,4.3873,0.2598
-789.10,8406.5313,16.9271,15.4297,114.4748,15.3248,1.0525,4.3873,0.2606
-788.10,8409.8115,16.9271,15.4297,113.2993,15.3248,1.0525,4.3873,0.2632
-787.10,8409.6084,16.9271,15.4297,113.7243,15.3248,1.0525,4.3873,0.2621
-786.10,8407.4971,16.9271,15.4297,113.8690,15.3248,1.0525,4.3873,0.2606
-785.10,8406.9150,16.9271,15.4297,113.3265,15.3248,1.0525,4.3873,0.2621
-784.10,8408.6465,16.9271,15.4297,113.0462,15.3248,1.0525,4.3873,0.2612
-783.10,8407.5029,16.9271,15.4297,114.3211,15.3248,1.0525,4.3873,0.2618
-782.10,8409.2119,16.9271,15.4297,113.3988,15.3248,1.0525,4.3873,0.2618
-781.10,8407.8818,16.9271,15.4297,114.6376,15.3248,1.0525,4.3873,0.2618
-780.10,8406.1836,16.9271,15.4297,113.2541,15.3248,1.0525,4.3873,0.2602
-779.10,8405.5840,16.9271,15.4297,114.2216,15.3248,1.5480,4.3873,0.2675
-778.10,8407.8779,16.9271,15.4297,113.1908,15.3248,1.0597,4.3873,0.2607
-777.10,8408.6465,16.9271,15.4297,114.7913,15.3248,1.5480,4.3873,0.2607
-776.10,8407.3096,16.9271,15.4297,114.2126,15.3248,1.5770,4.3873,0.2607
-775.10,8405.4043,16.9271,15.4297,113.3265,15.3248,1.0742,4.3873,0.2607
-774.10,8404.6104,16.9271,15.4297,113.6610,15.3248,1.0525,4.3873,0.2602
-773.10,8401.3076,16.9271,15.4297,113.3536,15.3248,1.0525,4.3873,0.2627
-772.10,8404.8164,16.9271,15.4297,114.2307,15.3248,1.5372,4.3873,0.2602
-771.10,8403.9248,16.9271,15.4297,112.9196,15.3248,1.5734,3.8628,0.2627
-770.10,8400.5352,16.9271,15.4297,113.2632,15.3248,1.5734,4.3656,0.2621
-769.10,8398.7021,16.9271,15.4297,114.2216,15.3248,1.5734,4.3801,0.2627
-768.10,8400.3828,16.9271,15.4297,113.4169,15.3248,1.0561,4.3801,0.2616
-767.10,8400.4590,16.9271,15.3646,114.8094,15.3248,1.0561,4.3801,0.2635
-766.10,8398.3203,16.9271,15.3646,114.2669,15.3248,1.0561,4.3801,0.2650
-765.10,8398.8477,16.8620,15.3646,113.7967,15.3248,1.0561,4.3801,0.2646
-764.10,8396.7939,16.8620,15.3646,113.7695,15.3248,1.0561,4.3801,0.2650
-763.10,8399.0850,16.8620,15.3646,114.7461,15.3248,1.0561,4.9045,0.2656
-762.10,8398.2197,16.8620,15.3646,114.7642,15.3248,1.0561,5.4290,0.2679
