Система автоматизации,AS
Абонент,ГПА-33
Ретросистема,Текущий
Дата,24.07.22
Время,22:40:43
Длительность архива (сек),2400.00
Время предыстории (сек),2400.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Помпажный запас, %","Частота вращения ротора СТ (2), об/мин"
-2399.74,8731.5732,3.2697,7.1965,99.5768,18.5140,85.0773,52.8248,50.9259,18.0031,17.0175,0.3918,74.9595,48.1999,8731.9688
-2398.74,8730.4814,3.2697,7.1965,99.5841,18.5140,85.0773,53.8194,50.9259,18.9978,17.0175,0.3927,74.8380,48.1485,8730.8818
-2397.74,8731.6797,3.2697,7.1965,99.5913,18.5140,85.0773,53.8194,50.9259,18.9978,17.0175,0.3918,74.8900,48.1421,8731.0293
-2396.74,8731.2803,3.2697,7.1965,99.5841,18.5140,85.0773,52.8248,49.9222,17.0265,17.0627,0.3918,75.1157,48.2343,8730.4814
-2395.74,8730.8818,3.2697,7.1965,99.5949,18.5140,85.0773,52.8248,49.9222,16.9994,18.0122,0.3918,75.1157,48.2300,8730.0840
-2394.74,8730.8818,3.2697,7.1965,99.6311,18.5140,85.0773,52.8248,50.9259,18.0031,18.0122,0.3908,75.1331,48.2467,8729.8408
-2393.74,8731.4287,3.2697,7.1965,99.6492,18.5140,85.0773,52.8248,50.9259,18.0031,18.0122,0.3927,74.9306,48.2031,8730.0840
-2392.74,8730.6328,3.2697,7.1965,99.6130,18.5140,85.0773,54.8231,49.9222,18.9978,18.0122,0.3918,74.9537,48.2032,8730.8818
-2391.74,8732.8750,3.2697,7.1965,99.6021,18.5140,85.0773,54.8231,49.9222,18.9978,15.0192,0.3926,75.4398,48.3108,8732.2217
-2390.74,8731.4287,3.2697,7.1965,99.5985,18.5140,85.0773,51.8302,48.9185,17.0085,15.0192,0.3918,75.1042,48.2569,8731.2803
-2389.74,8732.2217,3.2697,7.1965,99.6202,18.5140,85.0773,51.8302,48.9185,17.0085,15.0192,0.3919,74.5718,48.1120,8732.4746
-2388.74,8730.0840,3.2697,7.1962,99.5985,18.5140,85.0773,53.8194,50.9259,17.9941,15.0192,0.3908,75.0637,48.2275,8729.4443
-2387.74,8730.4814,3.2697,7.1962,99.6094,18.5140,85.0773,53.8194,50.9259,17.9941,16.0138,0.3908,75.1447,48.2322,8730.6328
-2386.74,8730.8818,3.2697,7.1962,99.6021,18.5140,85.0773,53.8194,49.9222,17.2797,16.0138,0.3908,75.1447,48.2427,8730.0840
-2385.74,8729.2861,3.2697,7.1951,99.6130,18.5140,85.0773,53.8194,49.9222,17.0085,17.0175,0.3908,75.2373,48.3149,8728.4922
-2384.74,8727.2959,3.2697,7.1951,99.5985,18.5140,85.0773,51.8302,48.9185,18.9978,17.0175,0.3908,75.2315,48.3301,8727.0664
-2383.74,8730.6328,3.2697,7.1951,99.6636,18.5140,85.0773,51.8302,48.9185,18.9978,17.0175,0.3918,74.7280,48.1200,8729.6865
-2382.74,8726.6689,3.2697,7.1951,99.6094,18.5140,85.0773,53.8194,49.9132,17.9941,16.0138,0.3908,75.2141,48.3339,8726.2734
-2381.74,8727.6289,3.2697,7.1951,99.5913,18.5140,85.0773,53.8194,49.9132,17.9941,16.0138,0.3908,74.7569,48.1510,8728.0215
-2380.74,8731.2803,3.2697,7.1951,99.6383,18.5140,85.0773,52.8248,49.9132,17.0085,16.0138,0.3908,74.8611,48.1411,8730.4814
-2379.74,8727.2959,3.2697,7.1951,99.6347,18.5140,85.0773,52.8248,49.9132,17.0085,17.0175,0.3908,75.0868,48.2471,8728.6514
-2378.74,8732.0781,3.2697,7.1951,99.5587,18.5140,85.0773,51.8302,49.9132,17.0085,17.0175,0.3918,74.8958,48.1541,8731.4287
-2377.74,8726.6689,3.2697,7.1951,99.5660,18.5140,85.0773,51.8302,49.9132,17.0085,17.0175,0.3908,75.3646,48.4142,8727.2959
-2376.74,8726.1006,3.2697,7.1951,99.5298,18.5140,85.0773,50.8265,50.9259,17.0085,17.0175,0.3908,75.0000,48.2661,8726.2734
-2375.74,8728.2549,3.2697,7.1951,99.5370,18.5140,85.0773,50.8265,50.9259,17.0085,15.0192,0.3908,74.9595,48.2079,8728.8887
-2374.74,8726.8994,3.2697,7.1951,99.5913,18.5140,85.0773,54.8231,50.9259,17.9760,15.1548,0.3908,74.8553,48.2080,8727.2959
-2373.74,8730.2373,3.2697,7.1951,99.5985,18.5140,85.0773,54.8231,50.9259,18.0031,18.0122,0.3908,74.7859,48.1627,8729.2861
-2372.74,8730.0840,3.2697,7.1951,99.6528,18.5140,85.0773,52.8248,49.9222,18.0031,17.1079,0.3908,74.9016,48.1690,8730.6328
-2371.74,8731.4287,3.2697,7.1951,99.5660,18.5140,85.0773,52.8248,49.9222,18.0031,17.0175,0.3927,74.9711,48.1919,8732.2217
-2370.74,8728.8887,3.2697,7.1951,99.5660,18.5140,85.0773,51.8302,50.9259,18.9978,18.0122,0.3908,75.2373,48.3157,8728.0938
-2369.74,8728.0938,3.2697,7.1951,99.6130,18.5140,85.0773,51.8302,50.9259,18.9978,18.0122,0.3908,74.9711,48.1888,8729.4443
-2368.74,8730.0840,3.2697,7.1951,99.6021,18.5140,85.0773,55.8178,50.9259,18.9978,18.0122,0.3918,74.9768,48.2370,8731.2803
-2367.74,8725.7031,3.2697,7.1951,99.5768,18.5140,85.0773,55.8178,50.9259,18.9978,18.0122,0.3927,74.7859,48.1732,8726.4980
-2366.74,8726.8994,3.2697,7.1951,99.6130,18.5140,85.0773,53.8194,48.9185,17.0085,18.0122,0.3908,75.2893,48.3368,8726.4980
-2365.74,8728.0938,3.2697,7.1951,99.6383,18.5140,85.0773,53.8194,48.9185,17.0085,16.0138,0.3908,74.9306,48.2287,8727.6943
-2364.74,8726.6689,3.2697,7.1951,99.6166,18.5140,85.0773,51.8302,49.9222,17.6957,16.0138,0.3908,75.2025,48.2962,8727.0664
-2363.74,8735.6660,3.2697,7.1951,99.5913,18.5140,85.0773,51.8302,49.9222,17.9941,18.0122,0.3908,75.0058,48.1429,8737.7803
-2362.74,8740.9580,3.2697,7.1951,99.5841,18.5140,85.0773,52.8248,49.9222,17.9941,17.5962,0.3908,75.7870,48.3319,8742.0547
-2361.74,8742.0547,3.2697,7.1951,99.6094,18.5140,85.0773,52.8248,49.9222,17.9941,17.0175,0.3908,75.9086,48.3940,8742.8564
-2360.74,8744.1396,3.2697,7.1951,99.6130,18.5140,85.0773,52.8248,50.9169,17.9941,17.0175,0.3908,75.7523,48.3346,8744.9355
-2359.74,8747.3232,3.2697,7.1951,99.5985,18.5140,85.0773,52.8248,50.9169,17.9941,17.0175,0.3927,76.2732,48.4585,8746.1289
-2358.74,8748.5176,3.2697,7.1951,99.6130,18.5140,85.0773,52.8248,51.9206,17.0085,17.0175,0.3918,75.7581,48.3100,8748.5176
-2357.74,8747.7217,3.2697,7.1951,99.5949,18.5140,85.0773,52.8248,51.9206,17.0085,18.0122,0.3927,75.7523,48.3079,8747.3232
-2356.74,8743.3438,3.2697,7.1951,99.6455,18.5140,85.0773,53.8194,50.9259,18.0031,18.0122,0.3908,75.8854,48.3624,8744.8555
-2355.74,8746.1289,3.2697,7.1951,99.6636,18.5140,85.0773,53.8194,50.9259,18.0031,17.0175,0.3908,75.9143,48.3682,8746.5283
-2354.74,8745.7324,3.2697,7.1962,99.5370,18.5140,85.0773,52.8248,49.9222,17.0085,17.0175,0.3918,76.1343,48.4273,8744.1396
-2353.74,8745.3330,3.2686,7.1962,99.5804,18.5140,85.0773,52.8248,49.9222,17.0085,16.0138,0.3908,75.9433,48.3934,8744.1396
-2352.74,8743.2559,3.2686,7.1962,99.5443,18.5140,85.0773,54.8231,50.9259,17.9760,16.0590,0.3927,75.9607,48.4050,8744.1396
-2351.74,8746.0537,3.2686,7.1962,99.5587,18.5140,85.0773,54.8231,50.9259,18.0031,17.0175,0.3927,75.7002,48.3263,8745.2520
-2350.74,8744.8555,3.2686,7.1962,99.5370,18.5140,85.0773,53.8194,49.9222,18.0031,17.0175,0.3908,75.8102,48.3379,8745.3330
-2349.74,8744.1396,3.2686,7.1962,99.5985,18.5140,85.0773,53.8194,49.9222,18.0031,17.0175,0.3908,75.9549,48.3938,8745.7324
-2348.74,8746.4541,3.2686,7.1962,99.5768,18.5140,85.0773,53.8194,50.9259,18.9978,16.0138,0.3908,75.7118,48.3134,8746.5283
-2347.74,8746.2061,3.2686,7.1962,99.5624,18.5140,85.0773,53.8194,50.9259,18.9978,16.0138,0.3908,75.7523,48.3164,8746.2061
-2346.74,8749.2529,3.2686,7.1962,99.5841,18.5140,85.0773,52.8248,49.9222,17.9941,16.0138,0.3927,75.6482,48.2713,8748.5176
-2345.74,8747.6553,3.2686,7.1962,99.6094,18.5140,85.0773,52.8248,49.9222,17.9941,17.0175,0.3908,76.3310,48.5123,8747.3232
-2344.74,8744.5371,3.2686,7.1962,99.5949,18.5140,85.0773,52.8248,50.9259,17.9941,17.0175,0.3907,76.1285,48.4487,8744.5371
-2343.74,8746.1289,3.2686,7.1962,99.6528,18.5140,85.0773,52.8248,50.9259,17.9941,16.0138,0.3908,76.0822,48.4280,8746.8535
-2342.74,8746.5996,3.2686,7.1962,99.6202,18.5140,85.0773,53.8194,49.9222,17.9941,16.0138,0.3925,75.9549,48.3834,8746.5996
-2341.74,8746.1289,3.2686,7.1962,99.6021,18.5140,85.0773,53.8194,49.9222,17.9941,17.0175,0.3908,75.9375,48.3828,8746.5283
-2340.74,8750.1680,3.2686,7.1962,99.5913,18.5140,85.0773,52.8248,49.9222,18.9978,17.0175,0.3927,75.5324,48.2547,8748.9785
-2339.74,8750.9092,3.2686,7.1962,99.5841,18.5140,85.0773,52.8248,49.9222,18.9978,17.0175,0.3927,75.5613,48.2249,8750.4551
-2338.74,8749.6543,3.2686,7.1962,99.6094,18.5140,85.0773,52.8248,50.9169,17.0085,18.0122,0.3918,75.7639,48.3077,8748.9180
-2337.74,8748.2520,3.2686,7.1962,99.5949,18.5140,85.0773,52.8248,50.9169,17.0085,18.0122,0.3918,75.5961,48.2329,8748.5830
-2336.74,8747.3232,3.2686,7.1962,99.6021,18.5140,85.0773,53.8194,50.9169,17.9941,18.0122,0.3918,75.9433,48.3558,8747.7900
-2335.74,8746.0537,3.2686,7.1962,99.5841,18.5140,85.0773,53.8194,50.9169,17.9941,16.0138,0.3919,76.0475,48.4019,8746.4541
-2334.74,8747.3232,3.2686,7.1962,99.5985,18.5140,85.0773,52.8248,49.9222,17.9941,16.0138,0.3927,75.8102,48.3304,8747.7217
-2333.74,8748.1191,3.2686,7.1962,99.6202,18.5140,85.0773,52.8248,49.9222,17.9941,17.0175,0.3918,75.7523,48.3372,8747.3232
-2332.74,8743.3438,3.2686,7.1962,99.6021,18.5140,85.0773,52.8248,50.9259,17.9941,17.0175,0.3908,75.9722,48.4227,8743.3438
-2331.74,8745.3330,3.2686,7.1962,99.6383,18.5140,85.0773,52.8248,50.9259,17.9941,18.0122,0.3927,75.9722,48.3976,8744.5371
-2330.74,8745.7324,3.2686,7.1962,99.6564,18.5140,85.0773,53.8194,50.9259,17.9941,17.9760,0.3918,75.8738,48.3531,8746.1289
-2329.74,8744.9355,3.2686,7.1962,99.5407,18.5140,85.0773,53.8194,50.9259,17.9941,17.0175,0.3921,75.8391,48.3396,8746.8535
-2328.74,8740.5605,3.2686,7.1962,99.5841,18.5140,85.0773,52.8248,50.9259,17.9941,17.8856,0.3916,75.8102,48.4298,8741.2578
-2327.74,8744.1396,3.2686,7.1962,99.5262,18.5140,85.0773,52.8248,50.9259,17.9941,18.0122,0.3927,75.7986,48.3190,8745.6523
-2326.74,8746.5283,3.2686,7.1962,99.6636,18.5140,85.0773,55.8178,50.9259,17.9941,17.0175,0.3927,75.7986,48.3345,8746.1289
-2325.74,8743.3438,3.2686,7.1962,99.5298,18.5140,85.0773,55.8178,50.9259,17.9941,17.0175,0.3908,75.7697,48.3863,8743.3438
-2324.74,8746.9277,3.2686,7.1962,99.5949,18.5140,85.0773,51.8302,49.9222,17.9941,17.0175,0.3927,75.5556,48.2142,8748.0547
-2323.74,8745.2520,3.2686,7.1962,99.5587,18.5140,85.0773,51.8302,49.9222,17.9941,17.0175,0.3908,75.7118,48.3593,8744.5371
-2322.74,8745.6523,3.2686,7.1962,99.5985,18.5140,85.0773,54.8231,49.9222,17.9941,17.0175,0.3918,75.8391,48.3368,8745.7324
-2321.74,8746.9277,3.2686,7.1962,99.6275,18.5140,85.0773,54.8231,49.9222,17.9941,17.0175,0.3927,75.6366,48.2590,8747.3232
-2320.74,8746.9990,3.2686,7.1962,99.6202,18.5140,85.0773,52.8248,49.9222,17.9941,17.0175,0.3927,75.8160,48.3348,8747.4639
-2319.74,8745.3330,3.2686,7.1962,99.5985,18.5140,85.0773,52.8248,49.9222,17.9941,17.0175,0.3918,75.9664,48.3996,8746.5283
-2318.74,8749.0410,3.2686,7.1962,99.6094,18.5140,85.0773,52.8248,50.9259,18.9978,17.3882,0.3927,75.7407,48.2931,8748.1846
-2317.74,8746.1289,3.2686,7.1962,99.6311,18.5140,85.0773,52.8248,50.9259,18.9978,18.0122,0.3918,76.0301,48.3918,8746.5283
-2316.74,8747.7217,3.2686,7.1962,99.6636,18.5140,85.0773,53.8194,49.9403,17.9941,16.0229,0.3927,75.8507,48.3495,8746.1289
-2315.74,8749.7139,3.2686,7.1962,99.5768,18.5140,85.0773,53.8194,49.9403,17.9941,16.0229,0.3927,75.7118,48.2943,8748.9180
-2314.74,8746.1289,3.2686,7.1962,99.5841,18.5140,85.0773,52.8248,50.9259,16.9994,16.0229,0.3927,75.9375,48.3706,8746.9277
-2313.74,8748.1191,3.2686,7.1962,99.5768,18.5140,85.0773,52.8248,50.9259,16.9994,17.0175,0.3927,75.8102,48.3394,8746.5283
-2312.74,8746.0537,3.2686,7.1962,99.6021,18.5140,85.0773,53.8194,49.9222,18.0031,17.0175,0.3927,75.8218,48.3448,8747.3232
-2311.74,8747.7217,3.2686,7.1962,99.5913,18.5140,85.0773,53.8194,49.9222,18.0031,16.0138,0.3927,75.7928,48.3188,8747.3232
-2310.74,8745.6523,3.2686,7.1962,99.6021,18.5140,85.0773,52.8248,50.9259,18.0031,16.0138,0.3920,76.0532,48.4383,8744.4541
-2309.74,8746.5283,3.2686,7.1962,99.6455,18.5140,85.0773,52.8248,50.9259,18.0031,17.0175,0.3927,76.0012,48.4146,8745.2520
-2308.74,8743.6543,3.2686,7.1962,99.6564,18.5140,85.0773,51.8302,48.9185,18.0031,17.0718,0.3918,75.8565,48.3792,8745.3330
-2307.74,8746.5283,3.2686,7.1962,99.6166,18.5140,85.0773,51.8302,48.9185,18.0031,19.0068,0.3924,75.8218,48.3267,8746.9277
-2306.74,8748.9180,3.2686,7.1962,99.6528,18.5140,85.0773,51.8302,49.9222,18.9978,18.1478,0.3927,75.7813,48.3143,8748.9180
-2305.74,8748.5176,3.2686,7.1962,99.6383,18.5140,85.0773,51.8302,49.9222,18.9978,18.0122,0.3937,75.2720,48.1514,8748.5176
-2304.74,8750.9609,3.2686,7.1962,99.5370,18.5140,85.0773,51.8302,49.9222,20.0014,17.0175,0.3927,75.8738,48.3253,8749.3730
