Система автоматизации,AS
Абонент,ГПА-23
Ретросистема,Архив останова
Дата,05.10.24
Время,03:54:57
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора ГГ (1), об/мин","Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Перепад давления  на конфузоре,  DРКонф, кПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Помпажный запас, %","Расчетная степень сжатия Км,"
-1199.38,10321.8516,9346.1094,1.9144,4.1088,10.7133,99.7721,12.6112,73.8743,28.9894,19.9834,10.9682,7.9662,0.0035,47.9415,2.0890
-1198.38,10323.9346,9345.6855,1.9144,4.1088,10.7350,99.8083,12.6112,73.8743,28.9894,19.9834,10.9682,7.9662,0.0035,47.9715,2.0890
-1197.38,10321.8516,9347.3809,1.9144,4.1088,10.7241,99.7902,12.6112,73.8743,27.9858,19.9834,9.9736,8.9699,0.0035,47.9440,2.0890
-1196.38,10322.7900,9345.2637,1.9144,4.1088,10.7313,99.8372,12.6112,73.8743,27.9858,19.9834,9.9736,8.9699,0.0035,47.9708,2.0890
-1195.38,10321.6016,9345.1279,1.9144,4.1088,10.7350,99.8662,12.6112,73.8743,27.9858,19.9834,10.9682,7.9662,0.0035,47.9818,2.0890
-1194.38,10323.9346,9343.5693,1.9144,4.1088,10.7350,99.7360,12.6112,73.8743,27.9858,19.9834,10.9682,7.9662,0.0035,47.9864,2.0890
-1193.38,10323.7324,9346.5342,1.9144,4.1088,10.7350,99.7432,12.6112,73.8743,27.9858,19.9834,11.9629,8.9699,0.0035,47.9732,2.0890
-1192.38,10324.8691,9346.2402,1.9144,4.1088,10.7458,99.7757,12.6112,73.8743,27.9858,19.9834,11.9629,8.9699,0.0035,47.9851,2.0890
-1191.38,10323.4668,9342.1514,1.9144,4.1088,10.7494,99.7721,12.6112,73.8743,27.9858,20.9780,10.9682,8.9699,0.0035,48.0272,2.0890
-1190.38,10323.7324,9343.5693,1.9144,4.1088,10.7458,99.7830,12.6112,73.8743,27.9858,20.9780,10.9682,8.9699,0.0035,48.0008,2.0890
-1189.38,10322.5371,9344.5537,1.9144,4.1088,10.7350,99.7938,12.6112,73.8743,28.9894,19.9834,9.9736,7.9662,0.0035,47.9867,2.0890
-1188.38,10323.4668,9343.4248,1.9144,4.1088,10.7422,99.8119,12.6112,73.8743,28.9894,19.9834,9.9736,7.9662,0.0035,48.0097,2.0890
-1187.38,10323.0000,9345.3965,1.9144,4.1088,10.7458,99.8625,12.6112,73.8743,27.9858,19.9834,9.9736,8.9699,0.0035,48.0007,2.0890
-1186.38,10323.0000,9346.9570,1.9144,4.1088,10.7350,99.8445,12.6112,73.8743,27.9858,19.9834,9.9736,8.9699,0.0035,47.9672,2.0890
-1185.38,10323.9346,9345.6855,1.9144,4.1088,10.7313,99.8119,12.6112,73.8743,28.9894,20.9780,10.9682,9.9646,0.0035,47.9720,2.0890
-1184.38,10322.5371,9344.8389,1.9144,4.1088,10.7277,99.8698,12.6112,73.8743,28.9894,20.9780,10.9682,9.9646,0.0035,47.9577,2.0890
-1183.38,10322.5371,9347.3809,1.9144,4.1088,10.7277,99.8445,12.6112,73.8743,28.9894,19.9834,11.9629,8.9699,0.0035,47.9448,2.0890
-1182.38,10322.3223,9347.2559,1.9144,4.1088,10.7422,99.8011,12.6112,73.8743,28.9894,19.9834,11.9629,8.9699,0.0035,47.9694,2.0890
-1181.38,10321.6016,9346.6611,1.9144,4.1088,10.7458,99.8192,12.6112,73.8743,28.9894,19.9834,10.9682,8.9699,0.0035,47.9951,2.0890
-1180.38,10322.7900,9345.1279,1.9144,4.1088,10.7350,99.7975,12.6112,73.8743,28.9894,19.9834,10.9682,8.9699,0.0035,47.9875,2.0890
-1179.38,10322.7900,9344.8389,1.9144,4.1088,10.7350,99.8011,12.6112,73.8743,28.9894,21.9727,9.9736,7.9662,0.0035,47.9897,2.0890
-1178.38,10323.2617,9344.4170,1.9144,4.1088,10.7422,99.8481,12.6112,73.8743,28.9894,21.9727,9.9736,7.9662,0.0035,47.9885,2.0890
-1177.38,10323.7324,9345.6855,1.9144,4.1088,10.7350,99.7794,12.6112,73.8743,27.9858,19.9834,10.9592,8.9699,0.0035,47.9740,2.0890
-1176.38,10323.7324,9346.5342,1.9144,4.1088,10.7350,99.8300,12.6112,73.8743,27.9858,19.9834,10.9592,8.9699,0.0035,47.9741,2.0890
