Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Архив останова
Дата,02.12.22
Время,10:43:51
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00
Шаг дискретизации (сек),1.00

Время,"Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Qбфг на входе 1ой ступени СГУ (сторона прив.), м3/ч, м3/ч","Расчетная степень сжатия Км,","Частота вращения ротора СТ (1), об/мин","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Помпажный запас, %"
-1199.00,3.1528,3.3004,396.3151,1.0436,4944.9795,-0.0181,18.3373,25.2223,13.9522,13.9341,15.9596,15.9686,0.1475,32.4826,64.2669
-1198.00,3.1528,3.3087,396.7708,1.0463,5081.0708,-0.0253,18.3373,25.2223,15.9596,13.9341,15.9596,15.9686,0.1525,34.4039,63.6364
-1197.00,3.1514,3.3171,397.3698,1.0490,5221.3032,0.0072,18.3373,25.2223,15.9596,14.9287,15.9596,15.9686,0.1586,36.3889,63.0724
-1196.00,3.1514,3.3257,397.3698,1.0521,5379.4092,-0.0181,18.2616,25.2223,15.9596,14.9287,15.9596,15.9686,0.1662,38.6343,62.4372
-1195.00,3.1514,3.3351,397.3698,1.0550,5527.8589,-0.0145,18.2616,25.2223,15.9596,13.9341,15.9596,15.9686,0.1726,41.0069,61.7188
-1194.00,3.1503,3.3460,397.1354,1.0579,5680.5225,-0.0615,18.2616,25.1466,17.9579,13.9341,15.9596,15.9686,0.1785,43.4433,61.0313
-1193.00,3.1503,3.3568,397.1354,1.0617,5792.2930,-0.0326,18.2616,25.1466,17.9579,14.9287,17.9489,15.9686,0.1825,45.7755,60.5011
-1192.00,3.1503,3.3677,397.3568,1.0650,5875.0713,-0.0181,18.2616,25.1466,18.9616,14.9287,17.9489,15.9686,0.1866,47.2859,60.3525
-1191.00,3.1503,3.3738,397.5781,1.0677,5948.3335,-0.0362,18.2616,25.1466,18.9616,14.9287,16.9542,16.9723,0.1897,48.6574,60.0418
-1190.00,3.1492,3.3800,397.3698,1.0695,6001.4282,-0.0470,18.2616,25.1466,18.9616,14.9287,16.9542,16.9723,0.1905,49.6933,59.8942
-1189.00,3.1492,3.3847,396.9140,1.0715,6039.9385,-0.0470,18.2616,25.1466,18.9616,14.9287,15.9596,15.9686,0.1934,50.4977,59.7680
-1188.00,3.1492,3.3883,397.1354,1.0729,6064.9609,-0.0651,18.2616,25.1466,17.9579,14.9287,15.9596,15.9686,0.1965,51.0590,59.7151
-1187.00,3.1492,3.3908,397.1354,1.0738,6086.8311,-0.0543,18.2616,25.1466,17.9579,15.9324,15.9596,16.9723,0.1974,51.5393,59.6732
-1186.00,3.1492,3.3919,396.7708,1.0743,6108.7417,-0.1085,18.2616,25.1466,17.9579,15.9324,15.9596,16.9723,0.1965,51.9850,59.5709
-1185.00,3.1492,3.3930,396.3151,1.0746,6127.7305,-0.1230,18.2616,25.1466,17.9579,16.9271,15.9596,16.9723,0.1965,52.4363,59.5102
-1184.00,3.1478,3.3945,395.8724,1.0751,6144.1831,-0.1194,18.2616,25.1466,20.9509,16.9271,15.9596,16.9723,0.1995,52.5521,59.4341
-1183.00,3.1489,3.3945,396.0938,1.0756,6154.2656,-0.0796,18.2616,25.1466,20.9509,16.9271,16.9542,17.9669,0.2005,52.8125,59.3538
-1182.00,3.1478,3.3955,395.8724,1.0758,6161.3325,-0.0470,18.1859,25.1466,19.9562,16.9271,16.9542,17.9669,0.1984,53.0266,59.3568
-1181.00,3.1489,3.3966,395.6380,1.0762,6166.0713,-0.0470,18.1859,25.1466,19.9562,14.9287,17.9489,16.9723,0.2005,53.1597,59.3625
-1180.00,3.1489,3.3966,395.4166,1.0762,6172.2422,-0.0651,18.1859,25.1466,20.9509,14.9287,17.9489,16.9723,0.2005,53.2002,59.3393
-1179.00,3.1478,3.3966,395.4166,1.0765,6177.0107,-0.0687,18.1859,25.1466,20.9509,15.9324,15.9596,17.9669,0.2005,53.2176,59.2784
-1178.00,3.1478,3.3966,395.1823,1.0765,6181.7852,-0.1013,18.1859,25.1466,19.9562,15.9324,15.9596,17.9669,0.2015,53.2755,59.2531
-1177.00,3.1478,3.3966,395.1823,1.0765,6185.6006,-0.0687,18.1859,25.1466,19.9562,16.9271,15.9596,16.9723,0.2025,53.3333,59.2119
-1176.00,3.1478,3.3966,395.8724,1.0765,6190.6362,-0.0543,18.1859,25.1466,16.9633,16.9271,15.9596,16.9723,0.1995,53.4143,59.1849
-1175.00,3.1467,3.3966,396.3151,1.0765,6194.2778,-0.0615,18.1859,25.1466,16.9633,15.9324,15.9596,17.9669,0.2015,53.5069,59.1798
-1174.00,3.1467,3.3966,396.9010,1.0769,6197.9238,-0.0543,18.1859,25.1466,20.9509,15.9324,15.9596,17.9669,0.1995,53.5880,59.1769
-1173.00,3.1467,3.3981,397.3698,1.0773,6201.2432,-0.0506,18.1102,25.1466,20.9509,15.9324,16.9542,17.9669,0.2015,53.6227,59.1527
-1172.00,3.1467,3.3981,396.6797,1.0773,6204.6396,-0.0723,18.1102,25.1466,18.9616,15.9324,16.9542,17.9669,0.2015,53.6285,59.1224
-1171.00,3.1467,3.3992,396.5365,1.0773,6207.7622,-0.0796,18.1102,25.1466,18.9616,14.9468,15.9596,15.9686,0.2005,53.7963,59.0961
-1170.00,3.1467,3.3992,396.3151,1.0777,6211.7080,-0.0651,18.1102,25.1466,18.9616,14.9468,15.9596,15.9686,0.2005,53.7442,59.0988
-1169.00,3.1467,3.3992,396.3151,1.0777,6214.8096,-0.0868,18.1102,25.1466,18.9616,16.9271,15.9596,16.9723,0.2009,53.7963,59.0486
-1168.00,3.1467,3.3992,396.3151,1.0777,6217.9146,-0.0977,18.1102,25.1466,19.9562,16.9271,15.9596,16.9723,0.2005,53.8194,59.0383
-1167.00,3.1467,3.3992,396.5365,1.0777,6221.3062,-0.0904,18.1102,25.1466,19.9562,16.9271,16.9542,15.9686,0.2016,53.7789,59.0021
-1166.00,3.1467,3.3992,396.5365,1.0777,6224.5283,-0.1085,18.1102,25.1466,23.9619,16.9271,16.9542,15.9686,0.2016,53.7963,58.9425
-1165.00,3.1467,3.3992,396.5365,1.0777,6226.1187,-0.0832,18.1102,25.2223,23.9619,17.9308,17.9489,18.9616,0.2015,53.9931,58.9657
-1164.00,3.1467,3.4002,396.3151,1.0777,6226.9668,-0.0687,18.0345,25.2223,22.9673,17.9308,17.9489,18.9616,0.2015,53.9931,58.9955
-1163.00,3.1467,3.3992,396.6797,1.0778,6228.5303,-0.0904,18.0345,25.2223,22.9673,16.9271,16.9542,16.9723,0.2024,53.9931,58.9628
-1162.00,3.1467,3.3992,396.5365,1.0777,6230.9360,-0.0796,18.0345,25.2223,20.9509,16.9271,16.9542,16.9723,0.2025,53.9757,58.9371
