Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Текущий
Дата,14.11.22
Время,14:50:15
Длительность архива (сек),1200.00
Время предыстории (сек),1200.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Помпажный запас, %","Расчетная степень сжатия Км,","Частота вращения ротора СТ (2), об/мин"
-1199.92,,3.2697,3.9967,29.4813,24.9176,52.6652,22.9673,23.9258,16.9542,13.9703,0.2708,89.5081,51.6791,1.2150,7981.9736
-1198.92,,3.2697,4.0111,29.9407,24.9176,52.6652,23.9710,23.9258,16.9542,13.9703,0.2714,89.4849,51.7367,1.2193,7975.1108
-1197.92,,3.2697,4.0220,30.1396,24.9176,52.6652,23.9710,24.9204,17.9579,14.9740,0.2724,89.0914,51.7198,1.2228,7969.4731
-1196.92,,3.2697,4.0278,30.1324,24.9176,52.6652,24.9656,24.9204,17.9579,14.9740,0.2724,88.7500,51.6601,1.2246,7965.4907
-1195.92,,3.2697,4.0292,30.1505,24.9176,52.6652,24.9656,24.9204,15.9596,13.9703,0.2724,88.9468,51.7623,1.2253,7958.6206
-1194.92,,3.2697,4.0303,30.1505,24.9176,52.6652,24.9656,24.9204,15.9596,13.9703,0.2724,88.5590,51.6824,1.2257,7958.2583
-1193.92,,3.2697,4.0303,30.1577,24.9176,52.6652,24.9656,21.9274,16.9542,13.9703,0.2724,88.5012,51.6632,1.2257,7957.5356
-1192.92,,3.2697,4.0314,30.1866,24.9176,52.6652,28.9623,21.9274,16.9542,13.9703,0.2724,88.4664,51.6435,1.2260,7958.6206
-1191.92,,3.2697,4.0314,30.1685,24.9176,52.7409,28.9623,25.9241,18.9525,13.9703,0.2724,88.6111,51.6948,1.2260,7957.1738
-1190.92,,3.2697,4.0328,30.1685,24.9176,52.7409,26.9640,25.9241,18.9525,13.9703,0.2734,88.5474,51.6891,1.2264,7956.4512
-1189.92,,3.2697,4.0328,30.1649,24.9176,52.7409,26.9640,28.9171,25.9512,17.9669,0.2734,88.6748,51.7392,1.2264,7955.7300
-1188.92,,3.2697,4.0328,30.0673,24.9176,52.7409,36.9557,28.9171,25.9512,17.9669,0.2745,88.6285,51.6717,1.2264,7957.8965
-1187.92,,3.2697,4.0339,30.0130,24.9176,52.7409,36.9557,26.9188,17.9579,15.9777,0.2745,88.8021,51.7346,1.2268,7957.8965
-1186.92,,3.2708,4.0339,29.9913,24.9176,52.7409,24.9656,26.9188,17.9579,15.9777,0.2745,88.6690,51.6815,1.2264,7959.4199
-1185.92,,3.2708,4.0339,30.0094,24.9176,52.7409,24.9656,25.9241,18.9525,13.9703,0.2740,88.6690,51.6995,1.2264,7958.2583
-1184.92,,3.2708,4.0350,30.6243,24.9176,52.7409,26.9640,25.9241,18.9525,13.9703,0.2745,88.6458,51.6017,1.2267,7966.5752
