Система автоматизации,AS
Абонент,ГПА-23
Ретросистема,Архив останова
Дата,05.10.24
Время,03:54:57
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00

Дата,Время,Статус,Сообщение,Тип,Флаги
05.10.2024,03:35:25.253,Пришло,""Включить ЭНБГ"",Выход,
05.10.2024,03:35:25.451,Пришло,""ЭНБГ включен"",Вход,
05.10.2024,03:38:54.252,Снялось,""Включить ЭНБГ"",Выход,
05.10.2024,03:38:54.650,Снялось,""ЭНБГ включен"",Вход,
05.10.2024,03:40:23.887,Пришло,""Повышеная Т опорного подшипника Км (сторона прив.)"",Предупреждение,
05.10.2024,03:41:16.252,Пришло,""Включить ЭНБГ"",Выход,
05.10.2024,03:41:16.451,Пришло,""ЭНБГ включен"",Вход,
05.10.2024,03:42:05.885,Пришло,""Повышеная Т опорного подшипника Км (ст. обслуж.)"",Предупреждение,
05.10.2024,03:44:45.453,Снялось,""Включить ЭНБГ"",Выход,
05.10.2024,03:44:45.851,Снялось,""ЭНБГ включен"",Вход,
05.10.2024,03:47:07.052,Пришло,""Включить ЭНБГ"",Выход,
05.10.2024,03:47:07.451,Пришло,""ЭНБГ включен"",Вход,
05.10.2024,03:50:36.252,Снялось,""Включить ЭНБГ"",Выход,
05.10.2024,03:50:36.650,Снялось,""ЭНБГ включен"",Вход,
05.10.2024,03:51:52.852,Пришло,""Кран №2 закрыть"",Выход,
05.10.2024,03:51:52.853,Пришло,""Кран №12 закрыть"",Выход,
05.10.2024,03:51:52.875,Пришло,"" АОсс"",Сообщение об изменении режима работы агрегата,
05.10.2024,03:51:52.875,Снялось,"" Магистраль"",Сообщение об изменении режима работы агрегата,
05.10.2024,03:51:52.893,Пришло,""Аварийно-высокая Т опорного подшипника Км (ст. обслуж.)"",Авария,
05.10.2024,03:51:52.894,Снялось,""Контур стабилизации СТ"",Фаза технологического процесса,
05.10.2024,03:51:52.895,Пришло,""Открыть КПВЗ"",Прочие сообщения,
05.10.2024,03:51:52.895,Пришло,""Открыть КПВ"",Прочие сообщения,
05.10.2024,03:51:52.895,Снялось,""Розжиг камеры сгорания"",Фаза технологического процесса,
05.10.2024,03:51:52.895,Снялось,""Готовность к запуску"",Прочие сообщения,
05.10.2024,03:51:52.895,Снялось,""Двигатель работает"",Прочие сообщения,
05.10.2024,03:51:52.895,Снялось,""Готовность к холодной прокрутке"",Прочие сообщения,
05.10.2024,03:51:52.895,Снялось,""Открыть CК"",Прочие сообщения,
05.10.2024,03:51:52.895,Снялось,""признак максимального режима"",Прочие сообщения,
05.10.2024,03:51:52.901,Пришло,""Отключение АУ УТО"",Прочие сообщения,
05.10.2024,03:51:52.904,Пришло,""Запись ретро останова"",Фаза технологического процесса,
05.10.2024,03:51:53.050,Пришло,""Открыть КПГ и КПВЗ"",Выход,
05.10.2024,03:51:53.050,Снялось,""Открыть СК"",Выход,
05.10.2024,03:51:53.050,Пришло,""Открыть КПВ"",Выход,
05.10.2024,03:51:53.050,Пришло,""Кран №15 закрыть"",Выход,
05.10.2024,03:51:53.050,Пришло,""Кран №16 открыть"",Выход,
05.10.2024,03:51:53.075,Снялось,""Взведена защита: по самопроизвольному закрытию СК"",Прочие сообщения,
05.10.2024,03:51:53.076,Снялось,""Пуск работа"",Прочие сообщения,
05.10.2024,03:51:53.076,Пришло,""Нет режимов работы"",Прочие сообщения,
05.10.2024,03:51:53.076,Снялось,""Взведена защита: Самопроизвольное закрытие крана 2"",Прочие сообщения,
05.10.2024,03:51:53.076,Снялось,""Взведена защита: Открыты двери кожуха ГТУ"",Прочие сообщения,
05.10.2024,03:51:53.092,Пришло,""Останов системы подачи топливного газа"",Режимное сообщение,
05.10.2024,03:51:53.248,Пришло,""СК закрыт"",Вход,
05.10.2024,03:51:53.252,Пришло,""Закрыть ЗПЦВ"",Выход,
05.10.2024,03:51:53.280,Снялось,""Взведена защита: по уровню масла в МБК"",Прочие сообщения,
05.10.2024,03:51:53.293,Снялось,""Условия обледенения ВОУ"",Фаза технологического процесса,
05.10.2024,03:51:53.448,Пришло,""КПВ открыты"",Вход,
05.10.2024,03:51:53.481,Снялось,""Взведена защита 'Повышенный часовой расход масла двигателя'"",Прочие сообщения,
05.10.2024,03:51:53.648,Пришло,""КПВЗ и КПГ открыты"",Вход,
05.10.2024,03:51:53.676,Снялось,""Взведена защита 'Входной тракт двигателя засорен'"",Прочие сообщения,
05.10.2024,03:51:53.849,Снялось,""Кран  № 6р (АПК) закрыт"",Вход,
05.10.2024,03:51:53.885,Пришло,""Нет U на электропр. особой группы от ввода 4 (ИБП)"",Предупреждение,
05.10.2024,03:51:53.891,Пришло,""Неисправность ВНА (< -7°)"",Авария,
05.10.2024,03:51:54.076,Пришло,""Взведена защита 'Неисправность электростартера'"",Прочие сообщения,
05.10.2024,03:51:54.076,Снялось,""Взведена защита 'Низкое давление масла на входе в двигатель'"",Прочие сообщения,
05.10.2024,03:51:54.087,Пришло,""нет готовности электростартера"",Предупреждение,
05.10.2024,03:51:54.249,Снялось,""Кран № 2 открыт"",Вход,
05.10.2024,03:51:54.280,Снялось,""Взведена защита 'Опасная вибрация двигателя'"",Прочие сообщения,
05.10.2024,03:51:54.450,Снялось,""ЗПЦВ открыта"",Вход,
05.10.2024,03:51:54.885,Пришло,""Нет готовности электростартера"",Предупреждение,
05.10.2024,03:51:55.248,Снялось,""Кран № 12 открыт"",Вход,
05.10.2024,03:51:55.248,Пришло,""Кран  № 6р (АПК) открыт"",Вход,
05.10.2024,03:51:55.293,Снялось,""ЗПЦВ открыта"",Фаза технологического процесса,
05.10.2024,03:51:56.048,Пришло,""Кран № 12 закрыт"",Вход,
05.10.2024,03:51:56.076,Снялось,""Взведена защита: по Qв в БС"",Прочие сообщения,
05.10.2024,03:51:56.092,Снялось,""Взведена защита: по Qв в БС"",Фаза технологического процесса,
05.10.2024,03:51:56.252,Пришло,""Открыть КСГС"",Выход,
05.10.2024,03:51:56.649,Снялось,""КПВЗ и КПГ открыты"",Вход,
05.10.2024,03:51:57.850,Снялось,""КСГС закрыт"",Вход,
05.10.2024,03:51:57.852,Снялось,""Открыть КСГС"",Выход,
05.10.2024,03:51:58.851,Снялось,""Кран №12 закрыть"",Выход,
05.10.2024,03:51:59.276,Снялось,""Взведена защита 'Неисправность ВНА'"",Прочие сообщения,
05.10.2024,03:52:01.047,Пришло,""Кран № 2 закрыт"",Вход,
05.10.2024,03:52:03.450,Снялось,""Готовность 2 (БЗА)"",Вход,
05.10.2024,03:52:03.851,Снялось,""Кран №2 закрыть"",Выход,
05.10.2024,03:52:04.049,Пришло,""ЗПЦВ закрыта"",Вход,
05.10.2024,03:52:04.491,Пришло,"" Резерв"",Прочие сообщения,
05.10.2024,03:52:06.527,Заквитировано,""Высокая температура на выходе АВОМК"",Предупреждение,
05.10.2024,03:52:06.527,Заквитировано,""АВОМК неисправен"",Предупреждение,
05.10.2024,03:52:06.527,Заквитировано,""Нет U на электропр. особой группы от ввода 4 (ИБП)"",Предупреждение,
05.10.2024,03:52:06.527,Заквитировано,""Перегрев масла в МБК"",Предупреждение,
05.10.2024,03:52:06.527,Заквитировано,""нет готовности электростартера"",Предупреждение,
