Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Архив останова
Дата,14.11.22
Время,14:46:01
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00

Дата,Время,Статус,Сообщение,Тип,Флаги
14.11.2022,14:26:52.817,Изменен,"PULT1_2ST. МВ_Кожевников: 0.0 -> 5.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:27:24.246,Снялось,"Включить ЭНБГ",Выход,
14.11.2022,14:27:24.642,Снялось,"ЭНБГ включен",Вход,
14.11.2022,14:28:30.560,Изменен,"PULT1_2ST. МВ_Кожевников: 5.0 -> 10.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:28:59.027,Изменен,"PULT1_2ST. МВ_Кожевников: 10.0 -> 15.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:29:05.448,Пришло,"Включить ЭНБГ",Выход,
14.11.2022,14:29:05.845,Пришло,"ЭНБГ включен",Вход,
14.11.2022,14:29:19.345,Изменен,"PULT1_2ST. МВ_Кожевников: 15.0 -> 20.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:29:43.285,Изменен,"PULT1_2ST. МВ_Кожевников: 20.0 -> 25.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:30:07.064,Изменен,"PULT1_2ST. МВ_Кожевников: 25.0 -> 30.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:30:25.957,Изменен,"PULT1_2ST. МВ_Кожевников: 30.0 -> 35.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:30:44.023,Изменен,"PULT1_2ST. МВ_Кожевников: 35.0 -> 40.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:31:04.963,Изменен,"PULT1_2ST. МВ_Кожевников: 40.0 -> 45.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:31:51.369,Изменен,"PULT1_2ST. МВ_Кожевников: 45.0 -> 50.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:32:33.126,Изменен,"PULT1_2ST. МВ_Кожевников: 50.0 -> 53.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:33:11.316,Изменен,"PULT1_2ST. МВ_Кожевников: 53.0 -> 55.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:33:45.477,Нажата кнопка,"ДУ АПРК включить",Кнопка,
14.11.2022,14:33:59.402,Изменен,"PULT1_2ST. МВ_Кожевников: 55.0 -> 57.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:34:01.258,Снялось,"Кран  № 6р (АПК) открыт",Вход,
14.11.2022,14:34:32.659,Пришло,"Кран  № 6р (АПК) открыт",Вход,
14.11.2022,14:34:39.260,Снялось,"Кран  № 6р (АПК) открыт",Вход,
14.11.2022,14:34:52.018,Изменен,"PULT1_2ST. МВ_Кожевников: 57.0 -> 58.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:35:39.918,Изменен,"PULT1_2ST. МВ_Кожевников: 58.0 -> 59.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:36:37.535,Изменен,"PULT1_2ST. МВ_Кожевников: 59.0 -> 60.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:37:04.864,Снялось,"Включить ЭНБГ",Выход,
14.11.2022,14:37:05.262,Снялось,"ЭНБГ включен",Вход,
14.11.2022,14:37:34.040,Изменен,"PULT1_2ST. МВ_Кожевников: 60.0 -> 61.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:38:06.607,Изменен,"PULT1_2ST. МВ_Кожевников: 61.0 -> 62.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:38:47.860,Пришло,"Включить ЭНБГ",Выход,
14.11.2022,14:38:48.258,Пришло,"ЭНБГ включен",Вход,
14.11.2022,14:39:56.930,Изменен,"PULT1_2ST. МВ_Кожевников: 62.0 -> 63.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:40:32.093,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:34.106,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:38.907,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:39.106,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:41.508,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:41.705,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:44.035,Изменен,"PULT1_2ST. МВ_Кожевников: 63.0 -> 64.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:40:50.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:50.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:53.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:53.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:53.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:53.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:55.109,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:55.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:55.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:55.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:55.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:56.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:56.706,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:40:57.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:01.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:02.108,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:02.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:02.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:04.109,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:04.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:12.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:12.908,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:13.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:13.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:13.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:14.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:14.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:14.908,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:15.706,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:15.908,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
