Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Текущий
Дата,28.09.24
Время,19:30:43
Длительность архива (сек),25200.00
Время предыстории (сек),25200.00

Дата,Время,Статус,Сообщение,Тип,Флаги
28.09.2024,12:34:36.576,Пришло,"Блокировка АО от БЗА",Выход,
28.09.2024,12:34:36.610,Пришло,"Блокировка АО от БЗА включена",Предупреждение,
28.09.2024,12:34:36.619,Пришло,"Контроль БЗА",Фаза технологического процесса,
28.09.2024,12:34:36.810,Снялось,"Взведена защита: Аварийный останов от БЗА",Прочие сообщения,
28.09.2024,12:34:37.576,Пришло,"Контроль БЗА",Выход,
28.09.2024,12:34:37.774,Пришло,"“Авария” из БЗА",Вход,
28.09.2024,12:34:39.576,Снялось,"Контроль БЗА",Выход,
28.09.2024,12:34:39.774,Снялось,"“Авария” из БЗА",Вход,
28.09.2024,12:34:41.576,Снялось,"Блокировка АО от БЗА",Выход,
28.09.2024,12:34:41.610,Снялось,"Блокировка АО от БЗА включена",Предупреждение,
28.09.2024,12:34:41.619,Снялось,"Контроль БЗА",Фаза технологического процесса,
28.09.2024,12:34:41.810,Пришло,"Взведена защита: Аварийный останов от БЗА",Прочие сообщения,
28.09.2024,12:34:46.876,Заквитировано,"Блокировка АО от БЗА включена",Предупреждение,
28.09.2024,15:45:14.377,Пришло,"КВР включить",Выход,
28.09.2024,15:45:14.974,Пришло,"КВР включен",Вход,
28.09.2024,15:45:44.606,Пришло,"Взведена защита по давлению воздуха в ресивере",Прочие сообщения,
28.09.2024,15:50:54.606,Пришло,"Высокое давление  воздуха в ресивере",Предупреждение,
28.09.2024,15:51:00.033,Заквитировано,"Высокое давление  воздуха в ресивере",Предупреждение,
28.09.2024,15:52:22.977,Снялось,"КВР включить",Выход,
28.09.2024,15:52:23.374,Снялось,"КВР включен",Вход,
28.09.2024,15:52:23.606,Снялось,"Взведена защита по давлению воздуха в ресивере",Прочие сообщения,
28.09.2024,15:52:23.811,Снялось,"Высокое давление  воздуха в ресивере",Предупреждение,
28.09.2024,17:00:05.979,Пришло,"PULT2_2ST. АА_Гусак: Пользователь вышел из системы",Смена пользователя,
28.09.2024,17:00:05.979,Пришло,"PULT2_2ST. ВА_Черных: Пользователь вошел в систему",Смена пользователя,
28.09.2024,17:01:47.653,Изменен,"PULT2_2ST. ВА_Черных: 7770.0 -> 7760.0 : 'Задание на частоту вращения, об/мин'",Изменение настроек,
28.09.2024,17:05:24.184,Изменен,"PULT2_2ST. ВА_Черных: 7760.0 -> 7750.0 : 'Задание на частоту вращения, об/мин'",Изменение настроек,
28.09.2024,17:26:27.178,Пришло,"Открыть ЗсСВ1",Выход,
28.09.2024,17:26:27.200,Нажата кнопка,"ДУ ЗсСВ1 выключить",Кнопка,
28.09.2024,17:26:27.217,Снялось,"ЗсСВ1 в ДУ",Прочие сообщения,
28.09.2024,17:26:27.776,Снялось,"ЗсСВ1 закрыта",Вход,
28.09.2024,17:26:29.778,Пришло,"Открыть ЗсСВ2",Выход,
28.09.2024,17:26:29.800,Нажата кнопка,"ДУ ЗсСВ2 выключить",Кнопка,
28.09.2024,17:26:29.818,Снялось,"ЗсСВ2 в ДУ",Прочие сообщения,
28.09.2024,17:26:30.376,Снялось,"ЗсСВ2 закрыта",Вход,
